"RANK","PLAYER (230)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"T114","David Aardsma","RP","32.6","","","NYM","CLE","1","$1,000,000","$1,000,000",""
"T114","Justin Turner","3B","29.8","3.045","R/R","NYM","LAD","1","$1,000,000","$1,000,000",""
"T114","Luis Ayala","RP","36.6","","","ATL","WSH","1","$1,000,000","$1,000,000",""
"T114","John Buck","C","34.1","0.064","R/R","PIT","SEA","1","$1,000,000","$1,000,000",""
"T114","Aaron Harang","SP","36.2","3.061","R/R","NYM","CLE","1","$1,000,000","$1,000,000",""
"T114","Franklin Gutierrez","","31.5","0.010999999999999","R/R","SEA","SEA","1","$1,000,000","$1,000,000",""
"T114","Scott Baker","SP","32.9","7.128","R/R","CHC","SEA","1","$1,000,000","$1,000,000",""
"T114","Reed Johnson","","37.7","1.145","R/R","ATL","MIA","1","$1,000,000","$1,000,000",""
"T114","Shaun Marcum","SP","32.7","","R/R","NYM","CLE","1","$1,000,000","$1,000,000",""
"T114","Kyle Farnsworth","RP","38.3","2.1","","PIT","NYM","1","$1,000,000","$1,000,000",""
"T114","José Valverde","RP","36.4","","","DET","NYM","1","$1,000,000","$1,000,000",""
"T114","Jeff Francoeur","LF","30.6","","R/R","SF","CLE","1","$1,000,000","$1,000,000",""
"T114","Delmon Young","LF/DH","28.9","","R/R","TB","BAL","1","$1,000,000","$1,000,000",""
"T114","Carlos Peña","1B","36.2","","","KC","LAA","1","$1,000,000","$1,000,000",""
"T114","Pat Neshek","RP","33.9","1.159","R","OAK","STL","1","$1,000,000","$1,000,000",""
"T114","Tyler Colvin","RP","28.9","","L/L","COL","SF","1","$1,000,000","$1,000,000",""
"T114","Jose Mijares","","29.8","","","SF","BOS","1","$1,000,000","$1,000,000",""
"T114","Randy Wolf","SP","38.0","3.115","","SEA","NYM","1","$1,000,000","$1,000,000",""
"134","Yorvit Torrealba","C","36.1","1.03","","COL","LAA","1","$950,000","$950,000",""
"135","Elliot Johnson","","30.4","","","ATL","CLE","1","$930,000","$930,000",""
"136","Jeff Francoeur","LF","30.6","","R/R","CLE","SD","1","$925,000","$925,000",""
"T137","Chone Figgins","3B/LF","36.6","","","MIA","LAD","1","$900,000","$900,000",""
"T137","Kevin Frandsen","3B/1B","32.2","","R/R","PHI","WSH","1","$900,000","$900,000",""
"139","John Baker","C","33.6","","L/R","LAD","CHC","1","$875,000","$875,000",""
"T140","John McDonald","SS/3B/2B","39.9","2.118","","BOS","LAA","1","$850,000","$850,000",""
"T140","Zach Duke","","31.3","2.054","L/L","CIN","MIL","1","$850,000","$850,000",""
"T140","J.C. Gutiérrez Minor","RP","31.1","","R/R","","SF","1","$850,000","$850,000",""
"143","Rich Hill","SP","34.4","6.037","L/L","CLE","BOS","1","$840,000","$840,000",""
"T144","Sam Fuld","CF","32.8","3.140","L/L","TB","OAK","1","$800,000","$800,000",""
"T144","Chris Coghlan","LF","29.2","","L/R","MIA","CHC","1","$800,000","$800,000",""
"T144","Omar Quintanilla","SS/SS/2B/2B","32.8","","L/R","NYM","NYM","1","$800,000","$800,000",""
"T144","Scott Atchison","RP","38.3","","R/R","NYM","CLE","1","$800,000","$800,000",""
"T144","Brennan Boesch","RF","29.3","","L/L","NYY","LAA","1","$800,000","$800,000",""
"149","Xavier Nady","1B/LF","35.8","","","COL","SD","1","$775,000","$775,000",""
"T150","Grady Sizemore","RF","32.0","0.045","L/L","CLE","BOS","1","$750,000","$750,000",""
"T150","Adam Rosales","2B/SS/3B","31.2","","R/R","OAK","TEX","1","$750,000","$750,000",""
"T150","Chad Gaudin","","31.4","","","SF","PHI","1","$750,000","$750,000",""
"153","Taylor Teagarden","C","30.7","","R/R","BAL","NYM","1","$725,000","$725,000",""
"T154","Daniel Hudson Minor","RP/CL","27.4","3.117","R/R","","ARI","1","$700,000","$700,000",""
"T154","Mike Baxter","","29.7","","L/R","NYM","LAD","1","$700,000","$700,000",""
"T156","Ryan Kalish","LF","26.3","","","BOS","CHC","1","$550,000","$550,000",""
"T156","Francisco Peguero","RF","26.2","","","SF","BAL","1","$550,000","$550,000",""
"T158","Tony Sipp","RP","31.1","","L/L","ARI","SD","1","$500,000","$500,000",""
"T158","Zach Putnam","RP","27.1","0.142","R/R","CHC","CHW","1","$500,000","$500,000",""
"T158","Dylan Axelrod","RP","29.0","","R/R","CHW","CHW","1","$500,000","$500,000",""
"T158","A.J. Pierzynski","","37.6","13.100","L/R","BOS","STL","1","$500,000","$500,000",""
"T162","Chris Dickerson Minor","LF","32.3","","L/L","","PIT","1","$0","$0",""
"T162","Frank Francisco","RP","34.9","","","NYM","CHW","1","$0","$0",""
"T162","Chris Getz","2B","30.9","","","KC","TOR","1","$0","$0",""
"T162","Jim Johnson","RP","31.1","5.165","R/R","OAK","DET","1","$0","$0",""
"T162","Rafael Betancourt","RP","39.2","0.079000000000001","","COL","COL","1","$0","$0",""
"T162","Lou Marson","","28.2","","","CLE","PHI","1","$0","$0",""
"T162","Scott Sizemore","2B","29.6","","","OAK","NYY","1","$0","$0",""
"T162","Nick Massett","RP","32.2","","R/R","CIN","COL","1","$0","$0",""
"T162","Tsuyoshi Wada","SP","33.5","1.076","L/L","BAL","CHC","1","$0","$0",""
"T162","Heath Bell","RP","36.8","","","TB","BAL","1","$0","$0",""
"T162","Clayton Richard","RP","30.9","5.070","L/L","SD","ARI","0","$0","",""
"T162","Wilson Betemit","3B/1B","32.8","","","BAL","TB","1","$0","$0",""
"T162","Jamey Carroll","2B/SS","40.5","0.02","","KC","WSH","1","$0","$0",""
"T162","Eli Whiteside","C","34.8","","","TEX","CHC","1","$0","$0",""
"T162","Scott Cousins","RF/CF","29.6","","","LAA","BOS","1","$0","$0",""
"T162","Adam Moore Minor","C","30.2","","R/R","","KC","0","$0","",""
"T162","Daniel Bard","RP","29.2","3.103","R/R","CHC","TEX","1","$0","$0",""
"T162","Chad Tracy","1B/3B","34.2","","","WSH","BAL","1","$0","$0",""
"T162","Joe Blanton","RP","33.7","1.158","R/R","LAA","OAK","1","$0","$0",""
"T162","Jeff Francis","SP","33.6","0.036","L/L","COL","CIN","1","$0","$0",""
"T162","Ty Wigginton","3B/1B","36.8","","","STL","MIA","1","$0","$0",""
"T162","Miguel Tejada","2B","40.2","4.023","","KC","MIA","1","$0","$0",""
"T162","Endy Chavez","LF/CF","36.5","","L/L","SEA","SEA","1","$0","$0",""
"T162","Cesar Izturis","SS","34.5","1.042","","CIN","HOU","1","$0","$0",""
