"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Age","Age","Weight","Height",""
"","Jhonny Peralta","2011","3B","DET","$5,250,000","$0","$5,250,000","$5,250,000","0.047","$5,300,000","$5,625,000","2","$11,250,000","$18,616,700","2014","28","29","229","6'2""",""
"","Jason Kubel","2011","LF","MIN","$5,250,000","$0","$5,250,000","$5,250,000","0.046","$5,250,000","$4,033,333","3","$12,100,000","$14,430,500","2012","26","29","0","0'0""",""
"","Johnny Damon","2011","LF","TB","$5,250,000","$0","$5,250,000","$5,250,000","0.115","$0","$5,250,000","1","$5,250,000","$0","2012","37","37","0","0'0""",""
"","Nelson Cruz","2012","DH","TEX","$5,000,000","$250,000","$5,250,000","$5,250,000","0.038","$5,500,000","$8,000,000","2","$16,000,000","$11,113,340","2014","31","32","230","6'2""",""
"","Ryan Doumit","2011","C","PIT","$5,100,000","$100,000","$5,200,000","$5,200,000","0.108","$5,200,000","$3,833,333","3","$11,500,000","$13,051,000","2014","27","30","220","6'1""",""
"","Chris Young","2011","RF","ARI","$5,000,000","$200,000","$5,200,000","$5,200,000","0.080","$5,200,000","$5,600,000","5","$28,000,000","$11,386,000","2014","25","27","200","6'2""",""
"","Adam Lind","2012","1B","TOR","$5,000,000","$150,000","$5,150,000","$5,150,000","0.053","$5,000,000","$4,500,000","4","$18,000,000","$7,628,200","2017","26","28","195","6'2""",""
"","Adam Lind","2011","1B","TOR","$5,000,000","$150,000","$5,150,000","$5,150,000","0.070","$0","$4,500,000","4","$18,000,000","$2,628,200","2017","26","27","195","6'2""",""
"","Carlos Quentin","2011","LF","CHW","$5,050,000","$0","$5,050,000","$5,050,000","0.040","$5,050,000","$5,050,000","1","$5,050,000","$11,008,000","0","28","28","235","6'1""",""
"","Jay Bruce","2012","RF","CIN","$5,000,000","$41,666","$5,041,666","$5,041,666","0.056","$5,000,000","$8,500,000","6","$51,000,000","$11,047,500","0","23","25","230","6'3""",""
"","Gavin Floyd","2011","RP","CHW","$5,000,000","$0","$5,000,000","$5,000,000","0.039","$5,000,000","$3,875,000","4","$15,500,000","$14,126,000","2014","25","28","235","6'4""",""
"","Juan Pierre","2011","LF","CHW","$5,000,000","$0","$5,000,000","$5,000,000","0.039","$5,000,000","$8,800,000","5","$44,000,000","$57,565,000","2012","29","33","0","0'0""",""
"","Angel Pagan","2012","LF","SF","$4,850,000","$0","$5,000,000","$5,000,000","0.037","$5,000,000","$4,850,000","1","$4,850,000","$11,633,500","2013","30","30","202","6'2""",""
"","Jeremy Affeldt","2012","RP","SF","$5,000,000","$0","$5,000,000","$5,000,000","0.037","$5,000,000","$4,750,000","2","$9,500,000","$26,863,000","2013","30","33","226","6'4""",""
"","Clint Barmes","2012","SS","PIT","$5,000,000","$0","$5,000,000","$5,000,000","0.082","$0","$5,250,000","2","$10,500,000","$10,327,000","2014","32","33","190","6'1""",""
"","Jon Garland","2011","SP","LAD","$5,000,000","$0","$5,000,000","$5,000,000","0.043","$5,000,000","$5,000,000","1","$5,000,000","$55,725,000","2012","31","31","0","0'0""",""
"","Brian Fuentes","2012","RP","OAK","$5,000,000","$0","$5,000,000","$5,000,000","0.083","$5,000,000","$5,250,000","2","$10,500,000","$38,998,000","2014","31","32","0","0'0""",""
"","Juan Uribe","2011","3B","LAD","$5,000,000","$0","$5,000,000","$5,000,000","0.043","$5,000,000","$7,000,000","3","$21,000,000","$24,000,000","2014","31","32","245","6'0""",""
"","Yunel Escobar","2012","3B","TOR","$5,000,000","$0","$5,000,000","$5,000,000","0.052","$5,000,000","$5,000,000","2","$10,000,000","$9,637,500","0","29","29","215","6'2""",""
"","Jack Wilson","2011","2B","ATL","$5,000,000","$0","$5,000,000","$1,612,021","0.016","$1,612,021","$5,000,000","2","$10,000,000","$40,067,000","2012","32","33","0","0'0""",""
"","Luke Scott","2012","DH","TB","$5,000,000","$0","$5,000,000","$5,000,000","0.072","$5,000,000","$5,500,000","2","$11,000,000","$19,305,000","2013","33","34","0","0'0""",""
"","Alexei Ramirez","2012","SS","CHW","$5,000,000","$0","$5,000,000","$5,000,000","0.046","$5,000,000","$8,125,000","4","$32,500,000","$11,400,000","2016","30","30","180","6'2""",""
"","Ryan Braun","2011","LF","MIL","$4,000,000","$1,000,000","$5,000,000","$5,000,000","0.054","$5,000,000","$21,000,000","5","$105,000,000","$12,617,500","2022","27","27","205","0'0""",""
"","Brandon League","2012","RP","SEA","$5,000,000","$0","$5,000,000","$5,000,000","0.059","$5,000,000","$5,000,000","1","$5,000,000","$10,353,800","2013","28","29","200","6'2""",""
"","Lyle Overbay","2011","1B","PIT","$5,000,000","$0","$5,000,000","$5,000,000","0.103","$5,000,000","$5,000,000","1","$5,000,000","$32,597,000","2012","33","34","235","6'2""",""
"","John Lannan","2012","RP","WSH","$5,000,000","$0","$5,000,000","$5,000,000","0.051","$0","$5,000,000","1","$5,000,000","$0","2013","27","27","235","6'4""",""
"","Scott Downs","2011","RP","LAA","$5,000,000","$0","$5,000,000","$5,000,000","0.034","$5,000,000","$5,000,000","3","$15,000,000","$18,296,000","2014","34","35","0","0'0""",""
"","Brian Fuentes","2011","RP","OAK","$5,000,000","$0","$5,000,000","$5,000,000","0.066","$5,000,000","$5,250,000","2","$10,500,000","$33,998,000","2014","31","31","0","0'0""",""
"","Scott Baker","2011","SP","MIN","$5,000,000","$0","$5,000,000","$5,000,000","0.044","$5,000,000","$3,812,500","4","$15,250,000","$10,798,500","2014","27","29","215","6'4""",""
"","Roy Oswalt","2012","SP","TEX","$5,000,000","$0","$5,000,000","$5,000,000","0.036","$5,000,000","$5,000,000","1","$5,000,000","$98,950,000","2013","34","34","0","0'0""",""
"","Scott Downs","2012","RP","LAA","$5,000,000","$0","$5,000,000","$5,000,000","0.032","$0","$5,000,000","3","$15,000,000","$18,296,000","2014","34","36","0","0'0""",""
"","Todd Helton","2012","1B","COL","$4,900,000","$0","$4,900,000","$4,900,000","0.056","$0","$4,950,000","2","$9,900,000","$0","2014","38","38","0","0'0""",""
"","James Loney","2011","1B","LAD","$4,875,000","$0","$4,875,000","$4,875,000","0.042","$4,875,000","$4,875,000","1","$4,875,000","$11,058,000","0","26","27","235","6'3""",""
"","Stephen Strasburg","2012","SP","WSH","$3,000,000","$1,875,000","$4,875,000","$4,875,000","0.050","$3,000,000","$3,775,000","4","$15,100,000","$15,400,000","0","20","23","235","6'5""",""
"","Jason Vargas","2012","SP","SEA","$4,850,000","$0","$4,850,000","$4,850,000","0.058","$4,850,000","$4,850,000","1","$4,850,000","$9,679,500","0","28","29","215","6'0""",""
"","Howie Kendrick","2012","LF","LAA","$4,500,000","$350,000","$4,850,000","$4,850,000","0.031","$5,900,000","$8,375,000","4","$33,500,000","$12,720,000","2016","28","28","220","0'0""",""
"","Ryan Madson","2011","RP","PHI","$4,500,000","$333,333","$4,833,333","$4,833,333","0.028","$4,500,000","$4,000,000","3","$12,000,000","$15,900,000","2012","28","30","234","6'6""",""
"","Melvin Upton","2011","LF","TB","$4,825,000","$0","$4,825,000","$4,825,000","0.105","$4,825,000","$4,825,000","1","$4,825,000","$13,659,000","0","26","26","185","6'3""",""
"","Jonathan Sanchez","2011","SP","SF","$4,800,000","$0","$4,800,000","$4,800,000","0.038","$0","$4,800,000","1","$4,800,000","$3,331,000","0","28","28","0","0'0""",""
"","John Grabow","2011","RP","CHC","$4,800,000","$0","$4,800,000","$4,800,000","0.035","$4,800,000","$3,750,000","2","$7,500,000","$12,736,250","2012","31","32","0","0'0""",""
"","R.A. Dickey","2012","SP","NYM","$4,250,000","$500,000","$4,750,000","$4,750,000","0.045","$4,750,000","$3,900,000","2","$7,800,000","$9,190,000","0","36","37","215","6'3""",""
"","Jason Hammel","2012","SP","BAL","$4,750,000","$0","$4,750,000","$4,750,000","0.057","$4,750,000","$3,875,000","2","$7,750,000","$11,556,500","2013","28","29","225","6'6""",""
"","Matt Guerrier","2012","RP","LAD","$3,750,000","$1,000,000","$4,750,000","$4,750,000","0.040","$3,750,000","$4,000,000","3","$12,000,000","$14,894,500","2014","32","33","0","0'0""",""
"","Chris Snyder","2011","C","PIT","$4,250,000","$500,000","$4,750,000","$1,500,000","0.031","$1,500,000","$4,833,333","3","$14,500,000","$15,909,000","0","27","30","0","0'0""",""
"","Nick Blackburn","2012","SP","MIN","$4,750,000","$0","$4,750,000","$4,750,000","0.044","$4,750,000","$3,500,000","4","$14,000,000","$9,330,000","2015","27","30","0","0'0""",""
"","Martin Prado","2012","3B","ATL","$4,750,000","$0","$4,750,000","$4,750,000","0.049","$4,750,000","$4,750,000","1","$4,750,000","$9,807,500","0","28","28","215","6'0""",""
"","Kevin Kouzmanoff","2011","3B","OAK","$4,750,000","$0","$4,750,000","$4,750,000","0.062","$4,750,000","$4,750,000","1","$4,750,000","$9,117,800","2012","29","29","210","6'1""",""
"","Aroldis Chapman","2012","RP","CIN","$2,000,000","$2,708,333","$4,733,333","$4,733,333","0.053","$2,025,000","$5,041,667","6","$30,250,000","$20,275,000","0","21","24","218","6'4""",""
"","Stephen Drew","2011","2B","ARI","$4,650,000","$0","$4,650,000","$4,650,000","0.071","$4,650,000","$6,875,000","2","$13,750,000","$19,150,000","2013","27","28","200","6'0""",""
"","Ben Zobrist","2012","2B","TB","$4,500,000","$140,475","$4,640,475","$4,640,475","0.066","$4,500,000","$4,500,000","4","$18,000,000","$11,260,100","2016","28","31","210","6'3""",""
"","Ben Zobrist","2011","2B","TB","$4,500,000","$140,475","$4,640,475","$4,640,475","0.101","$4,500,000","$4,500,000","4","$18,000,000","$6,760,100","2016","28","30","210","6'3""",""
"","Erik Bedard","2012","SP","PIT","$4,500,000","$0","$4,500,000","$4,500,000","0.074","$4,500,000","$4,500,000","1","$4,500,000","$27,260,000","2013","32","33","0","0'0""",""
"","J.J. Putz","2012","RP","ARI","$4,500,000","$0","$4,500,000","$4,500,000","0.055","$4,500,000","$5,000,000","2","$10,000,000","$26,000,000","2015","33","35","0","0'0""",""
"","Jeremy Affeldt","2011","RP","SF","$4,500,000","$0","$4,500,000","$4,500,000","0.036","$4,500,000","$4,750,000","2","$9,500,000","$21,863,000","2013","30","32","226","6'4""",""
"","Bruce Chen","2012","RP","KC","$4,500,000","$0","$4,500,000","$4,500,000","0.064","$4,500,000","$4,500,000","2","$9,000,000","$14,257,500","2014","34","35","0","0'0""",""
"","Francisco Cordero","2012","RP","TOR","$4,500,000","$0","$4,500,000","$4,500,000","0.046","$0","$4,500,000","1","$4,500,000","$0","2013","36","37","0","0'0""",""
"","David Aardsma","2011","RP","SEA","$4,500,000","$0","$4,500,000","$4,500,000","0.044","$0","$4,500,000","1","$4,500,000","$1,425,000","2012","-1,982","29","0","0'0""",""
"","Evan Longoria","2012","3B","TB","$4,500,000","$0","$4,500,000","$4,500,000","0.064","$4,500,000","$2,916,667","6","$17,500,000","$12,175,000","0","22","26","215","6'1""",""
"","Jesse Crain","2012","RP","CHW","$4,500,000","$0","$4,500,000","$4,500,000","0.041","$4,500,000","$4,333,333","3","$13,000,000","$15,082,000","2014","29","30","0","0'0""",""
"","Matt Capps","2012","RP","MIN","$4,500,000","$0","$4,500,000","$4,500,000","0.041","$4,500,000","$4,500,000","1","$4,500,000","$18,678,000","2013","28","28","0","0'0""",""
"","Justin Upton","2011","LF","ARI","$4,250,000","$208,333","$4,458,333","$4,458,333","0.068","$4,250,000","$8,583,333","6","$51,500,000","$13,285,000","2016","22","23","215","6'1""",""
"","Scott Feldman","2011","SP","TEX","$4,400,000","$0","$4,400,000","$4,400,000","0.042","$4,400,000","$5,750,000","2","$11,500,000","$8,384,313","2013","27","28","225","6'6""",""
"","Mike Adams","2012","RP","TEX","$4,400,000","$0","$4,400,000","$4,400,000","0.032","$4,400,000","$4,400,000","1","$4,400,000","$9,405,800","2013","33","33","194","6'5""",""
"","Yuniesky Betancourt","2011","1B","MIL","$4,000,000","$375,000","$4,375,000","$2,000,000","0.022","$2,000,000","$3,437,500","4","$13,750,000","$14,562,668","2012","25","29","0","0'0""",""
"","Stephen Strasburg","2011","SP","WSH","$2,500,000","$1,875,000","$4,375,000","$4,375,000","0.058","$5,000,000","$3,775,000","4","$15,100,000","$12,400,000","0","20","22","235","6'5""",""
"","David Price","2012","SP","TB","$4,350,000","$0","$4,350,000","$4,350,000","0.062","$5,283,333","$4,350,000","1","$4,350,000","$14,179,998","0","26","26","215","6'5""",""
"","Franklin Gutierrez","2011","CF","SEA","$4,000,000","$312,500","$4,312,500","$4,312,500","0.043","$4,000,000","$5,062,500","4","$20,250,000","$9,134,300","2014","26","28","200","6'2""",""
"","Geovany Soto","2012","C","CHC","$4,300,000","$0","$4,300,000","$4,300,000","0.037","$4,300,000","$4,300,000","1","$4,300,000","$9,231,000","2013","28","29","220","6'1""",""
"","Francisco Liriano","2011","RP","MIN","$4,300,000","$0","$4,300,000","$4,300,000","0.038","$4,300,000","$4,300,000","1","$4,300,000","$7,793,000","0","27","27","218","6'3""",""
"","Brandon McCarthy","2012","SP","OAK","$4,275,000","$0","$4,275,000","$4,275,000","0.071","$4,275,000","$4,275,000","1","$4,275,000","$8,713,828","0","28","28","225","6'7""",""
"","Javier Lopez","2012","RP","SF","$4,250,000","$0","$4,250,000","$4,250,000","0.031","$4,250,000","$4,250,000","2","$8,500,000","$10,931,000","2014","34","34","220","6'4""",""
"","LaTroy Hawkins","2011","RP/CL","MIL","$4,000,000","$250,000","$4,250,000","$4,250,000","0.046","$4,000,000","$3,750,000","2","$7,500,000","$35,750,000","2012","37","38","195","6'5""",""
"","Paul Maholm","2012","RP","CHC","$4,250,000","$0","$4,250,000","$4,250,000","0.037","$4,250,000","$4,250,000","1","$4,250,000","$22,105,500","2014","29","30","245","6'2""",""
"","Hideki Matsui","2011","DH","OAK","$4,250,000","$0","$4,250,000","$4,250,000","0.056","$0","$4,250,000","1","$4,250,000","$0","2012","36","37","0","0'0""",""
"","James Shields","2011","SP","TB","$4,250,000","$0","$4,250,000","$4,250,000","0.093","$4,250,000","$2,812,500","4","$11,250,000","$9,844,900","2015","26","29","215","6'3""",""
"","Hisanori Takahashi","2012","RP","PIT","$4,200,000","$0","$4,200,000","$940,983","0.015","$940,983","$4,000,000","2","$8,000,000","$9,000,000","2013","35","37","0","0'0""",""
"","Kevin Gregg","2011","RP","BAL","$4,200,000","$0","$4,200,000","$4,200,000","0.044","$4,200,000","$5,000,000","2","$10,000,000","$15,636,500","2014","32","33","245","6'6""",""
"","Joel Hanrahan","2012","RP","PIT","$4,100,000","$0","$4,135,000","$4,135,000","0.068","$4,135,000","$4,100,000","1","$4,100,000","$7,423,000","0","30","30","0","0'0""",""
"","Jesse Crain","2011","RP","CHW","$4,000,000","$0","$4,000,000","$4,000,000","0.031","$4,000,000","$4,333,333","3","$13,000,000","$10,582,000","2014","29","29","0","0'0""",""
"","Kevin Correia","2012","SP","PIT","$3,000,000","$1,000,000","$4,000,000","$4,000,000","0.065","$0","$4,000,000","2","$8,000,000","$0","2013","30","31","200","6'3""",""
"","Rod Barajas","2012","C","PIT","$4,000,000","$0","$4,000,000","$4,000,000","0.065","$0","$4,000,000","1","$4,000,000","$0","2013","36","36","0","0'0""",""
"","Grant Balfour","2012","RP","OAK","$4,000,000","$0","$4,000,000","$4,000,000","0.066","$4,000,000","$4,050,000","2","$8,100,000","$12,785,000","2014","33","34","200","6'2""",""
"","Rafael Betancourt","2012","RP","COL","$4,000,000","$0","$4,000,000","$4,000,000","0.046","$0","$4,250,000","2","$8,500,000","$0","2015","36","37","0","0'0""",""
"","Brandon Morrow","2012","RP","TOR","$4,000,000","$0","$4,000,000","$4,000,000","0.041","$4,000,000","$6,666,667","3","$20,000,000","$9,964,800","2015","27","27","205","6'3""",""
"","Darren Oliver","2012","RP","TOR","$4,000,000","$0","$4,000,000","$4,000,000","0.041","$4,000,000","$4,500,000","1","$4,500,000","$38,615,000","2014","41","41","0","0'0""",""
"","Joakim Soria","2011","RP/CL","KC","$4,000,000","$0","$4,000,000","$4,000,000","0.077","$4,000,000","$2,916,667","3","$8,750,000","$8,806,500","2015","24","27","205","6'3""",""
"","Juan Rivera","2012","LF","LAD","$4,000,000","$0","$4,000,000","$4,000,000","0.034","$4,000,000","$4,500,000","1","$4,500,000","$22,752,000","2013","33","33","0","0'0""",""
"","Kevin Correia","2011","SP","PIT","$3,000,000","$1,000,000","$4,000,000","$4,000,000","0.083","$0","$4,000,000","2","$8,000,000","$0","2013","30","30","200","6'3""",""
"","Kei Igawa","2011","RP","NYY","$4,000,000","$0","$4,000,000","$4,000,000","0.019","$4,000,000","$4,000,000","5","$20,000,000","$20,000,000","2012","27","31","0","0'0""",""
"","Damaso Marte","2011","RP","NYY","$4,000,000","$0","$4,000,000","$4,000,000","0.019","$4,000,000","$4,000,000","3","$12,000,000","$20,757,499","2012","33","36","0","0'0""",""
"","Frank Francisco","2011","RP","TOR","$4,000,000","$0","$4,000,000","$4,000,000","0.054","$0","$4,000,000","1","$4,000,000","$0","2012","31","31","0","0'0""",""
"","Ty Wigginton","2012","3B","PHI","$4,000,000","$0","$4,000,000","$2,000,000","0.011","$2,000,000","$4,000,000","2","$8,000,000","$18,685,500","2013","33","34","0","0'0""",""
"","Pedro Feliciano","2012","RP","NYY","$4,000,000","$0","$4,000,000","$4,000,000","0.018","$4,000,000","$4,000,000","2","$8,000,000","$12,438,250","2014","34","35","0","0'0""",""
"","Freddy Garcia","2012","SP","NYY","$4,000,000","$0","$4,000,000","$4,000,000","0.018","$0","$4,000,000","1","$4,000,000","$0","2013","35","35","0","0'0""",""
"","Chien-Ming Wang","2012","RP","WSH","$4,000,000","$0","$4,000,000","$4,000,000","0.041","$4,000,000","$4,000,000","1","$4,000,000","$16,842,675","2013","31","32","225","6'4""",""
"","Jason Bartlett","2011","SS","SD","$4,000,000","$0","$4,000,000","$4,000,000","0.083","$0","$5,500,000","2","$11,000,000","$0","2014","31","31","0","0'0""",""
"","Orlando Hudson","2011","3B","SD","$4,000,000","$0","$4,000,000","$4,000,000","0.083","$4,000,000","$5,750,000","2","$11,500,000","$25,830,000","2013","33","33","0","0'0""",""
"","Koji Uehara","2012","RP","TEX","$4,000,000","$0","$4,000,000","$4,000,000","0.029","$4,000,000","$3,500,000","2","$7,000,000","$17,650,000","2013","35","37","195","6'2""",""
"","J.J. Putz","2011","RP","ARI","$4,000,000","$0","$4,000,000","$4,000,000","0.061","$4,000,000","$5,000,000","2","$10,000,000","$21,500,000","2015","33","34","0","0'0""",""
"","Jonathan Broxton","2012","RP","CIN","$4,000,000","$0","$4,000,000","$1,420,765","0.016","$1,420,765","$4,000,000","1","$4,000,000","$19,147,500","2013","27","28","305","6'4""",""
"","Maicer Izturis","2012","2B","LAA","$3,800,000","$166,667","$3,966,667","$3,966,667","0.025","$3,800,000","$3,333,333","3","$10,000,000","$13,907,000","2013","29","31","155","5'8""",""
"","Shaun Marcum","2011","SP","MIL","$3,950,000","$0","$3,950,000","$3,950,000","0.043","$3,950,000","$3,950,000","1","$3,950,000","$6,442,800","0","29","29","0","6'0""",""
"","Clint Barmes","2011","SS","HOU","$3,925,000","$0","$3,925,000","$3,925,000","0.046","$3,925,000","$3,925,000","1","$3,925,000","$10,327,000","2012","31","32","190","6'1""",""
"","Mike Pelfrey","2011","RP","NYM","$3,925,000","$0","$3,925,000","$3,925,000","0.028","$3,925,000","$3,925,000","1","$3,925,000","$9,675,000","0","26","27","240","6'7""",""
"","Andrew Bailey","2012","RP","BOS","$3,900,000","$0","$3,900,000","$3,900,000","0.022","$3,900,000","$3,900,000","1","$3,900,000","$5,335,000","0","27","28","240","6'3""",""
"","Hisanori Takahashi","2011","RP","LAA","$3,800,000","$0","$3,800,000","$3,800,000","0.026","$3,800,000","$4,000,000","2","$8,000,000","$4,800,000","2013","35","36","0","0'0""",""
"","Rafael Betancourt","2011","RP","COL","$3,775,000","$0","$3,775,000","$3,775,000","0.046","$0","$3,775,000","2","$7,550,000","$0","0","34","36","0","0'0""",""
"","Matt Belisle","2012","RP","COL","$3,775,000","$0","$3,775,000","$3,775,000","0.043","$3,775,000","$4,062,500","2","$8,125,000","$11,824,500","2015","31","32","230","6'3""",""
"","Max Scherzer","2012","SP","DET","$3,750,000","$0","$3,750,000","$3,750,000","0.026","$3,750,000","$3,750,000","1","$3,750,000","$11,650,000","0","27","27","208","6'3""",""
"","Jason Kendall","2011","C","KC","$3,750,000","$0","$3,750,000","$3,750,000","0.072","$3,750,000","$3,000,000","2","$6,000,000","$84,793,998","2012","35","37","0","0'0""",""
"","Miguel Olivo","2012","C","SEA","$3,500,000","$250,000","$3,750,000","$3,750,000","0.045","$3,500,000","$3,500,000","2","$7,000,000","$17,220,000","2013","32","33","207","6'1""",""
"","Pedro Feliciano","2011","RP","NYY","$3,750,000","$0","$3,750,000","$3,750,000","0.018","$3,750,000","$4,000,000","2","$8,000,000","$8,438,250","2014","34","34","0","0'0""",""
"","Grant Balfour","2011","RP","OAK","$3,750,000","$0","$3,750,000","$3,750,000","0.049","$3,750,000","$4,050,000","2","$8,100,000","$8,785,000","2014","33","33","200","6'2""",""
"","Clay Buchholz","2012","SP","BOS","$3,500,000","$250,000","$3,750,000","$3,750,000","0.021","$4,500,000","$7,486,250","4","$29,945,000","$7,198,866","2018","27","27","190","6'3""",""
"","Yasiel Puig","2012","RF","LAD","$2,000,000","$1,714,285","$3,714,285","$3,714,285","0.032","$14,000,000","$6,000,000","7","$42,000,000","$14,000,000","2020","21","21","240","0'0""",""
"","Aroldis Chapman","2011","RP","CIN","$1,000,000","$2,708,333","$3,708,333","$3,708,333","0.045","$1,000,000","$5,041,667","6","$30,250,000","$18,250,000","0","21","23","218","6'4""",""
"","Trevor Cahill","2012","RP","ARI","$3,500,000","$200,000","$3,700,000","$3,700,000","0.045","$3,700,000","$6,100,000","5","$30,500,000","$5,770,000","2018","22","24","230","6'4""",""
"","Koji Uehara","2011","RP","TEX","$3,000,000","$0","$3,650,000","$3,650,000","0.035","$650,000","$3,500,000","2","$7,000,000","$13,650,000","2013","35","36","195","6'2""",""
"","Nelson Cruz","2011","DH","TEX","$3,650,000","$0","$3,650,000","$3,650,000","0.035","$3,650,000","$3,650,000","1","$3,650,000","$5,613,340","2014","30","30","230","6'2""",""
"","Chris Iannetta","2012","C","LAA","$3,550,000","$83,334","$3,633,334","$3,633,334","0.023","$3,633,334","$2,783,333","3","$8,350,000","$9,924,000","0","26","29","230","0'0""",""
"","David Murphy","2012","DH","TEX","$3,625,000","$0","$3,625,000","$3,625,000","0.026","$3,625,000","$3,625,000","1","$3,625,000","$9,175,490","0","30","30","192","6'4""",""
"","Matt Lindstrom","2012","RP","ARI","$3,600,000","$0","$3,600,000","$767,213","0.009","$767,213","$3,300,000","2","$6,600,000","$8,032,234","2013","30","32","215","6'3""",""
"","Jose Lopez","2011","3B","COL","$3,600,000","$0","$3,600,000","$3,600,000","0.043","$0","$3,600,000","1","$3,600,000","$0","0","27","27","0","0'0""",""
"","Luke Hochevar","2012","RP","KC","$3,510,000","$0","$3,510,000","$3,510,000","0.050","$3,510,000","$3,510,000","1","$3,510,000","$14,030,000","0","28","28","225","6'5""",""
"","Angel Pagan","2011","LF","NYM","$3,500,000","$0","$3,500,000","$3,500,000","0.025","$3,500,000","$3,500,000","1","$3,500,000","$6,633,500","0","29","29","202","6'2""",""
"","Ty Wigginton","2011","3B","COL","$3,500,000","$0","$3,500,000","$3,500,000","0.042","$3,500,000","$4,000,000","2","$8,000,000","$14,685,500","2013","33","33","0","0'0""",""
"","Alex Gonzalez","2012","SS","MIL","$3,500,000","$0","$3,500,000","$3,500,000","0.032","$3,500,000","$4,250,000","1","$4,250,000","$34,850,000","2014","34","35","0","0'0""",""
"","Edwin Encarnacion","2012","DH","TOR","$3,500,000","$0","$3,500,000","$3,500,000","0.036","$3,500,000","$2,750,000","2","$5,500,000","$14,345,000","0","27","29","230","0'0""",""
"","Billy Butler","2011","DH","KC","$3,000,000","$500,000","$3,500,000","$3,500,000","0.067","$5,000,000","$7,500,000","4","$30,000,000","$7,740,000","2015","24","25","260","6'0""",""
"","Yovani Gallardo","2011","RP","MIL","$3,250,000","$250,000","$3,500,000","$3,500,000","0.038","$3,250,000","$6,020,000","5","$30,100,000","$6,923,000","0","23","25","205","6'2""",""
"","Ryan Franklin","2011","RP","STL","$3,500,000","$0","$3,500,000","$3,500,000","0.029","$3,500,000","$3,250,000","2","$6,500,000","$20,077,500","2012","36","38","0","0'0""",""
"","Jon Rauch","2011","RP","TOR","$3,500,000","$0","$3,500,000","$3,500,000","0.048","$0","$3,500,000","1","$3,500,000","$0","2013","-9","-9","0","0'0""",""
"","Jeff Samardzija","2011","SP","CHC","$3,000,000","$500,000","$3,500,000","$3,500,000","0.025","$3,500,000","$2,000,000","5","$10,000,000","$17,250,000","0","21","26","240","0'0""",""
"","Mike Morse","2012","LF","WSH","$3,250,000","$250,000","$3,500,000","$3,500,000","0.036","$3,500,000","$5,250,000","2","$10,500,000","$6,321,536","2014","29","30","245","6'5""",""
"","Aaron Harang","2011","SP","SD","$3,500,000","$0","$3,500,000","$3,500,000","0.073","$3,500,000","$4,000,000","1","$4,000,000","$43,150,000","2012","32","33","260","6'7""",""
"","Zach Duke","2011","RP","ARI","$3,500,000","$0","$3,500,000","$3,500,000","0.054","$3,500,000","$4,300,000","1","$4,300,000","$11,145,000","0","27","28","210","6'2""",""
"","Chase Headley","2012","3B","SD","$3,475,000","$0","$3,475,000","$3,475,000","0.054","$3,475,000","$3,475,000","1","$3,475,000","$7,969,200","0","27","28","215","6'2""",""
"","Chris Capuano","2012","RP","LAD","$3,000,000","$0","$3,375,000","$3,375,000","0.029","$3,375,000","$5,000,000","2","$10,000,000","$13,469,000","2014","33","33","225","6'2""",""
"","Jaime Garcia","2012","SP","STL","$3,250,000","$125,000","$3,375,000","$3,375,000","0.028","$3,750,000","$6,875,000","4","$27,500,000","$4,987,000","2018","25","25","215","6'2""",""
"","Dallas Braden","2012","RP","OAK","$3,350,000","$0","$3,350,000","$3,350,000","0.055","$0","$3,350,000","1","$3,350,000","$0","2014","28","28","0","0'0""",""
"","Kyle Kendrick","2012","SP","PHI","$3,000,000","$0","$3,350,000","$3,350,000","0.019","$3,350,000","$3,750,000","2","$7,500,000","$7,715,000","0","27","27","210","6'3""",""
"","Gio Gonzalez","2012","SP","WSH","$3,250,000","$100,000","$3,350,000","$3,350,000","0.034","$3,750,000","$8,400,000","5","$42,000,000","$5,830,000","2019","26","26","205","6'0""",""
"","Howie Kendrick","2011","LF","LAA","$3,300,000","$0","$3,350,000","$3,350,000","0.023","$3,350,000","$3,300,000","1","$3,300,000","$6,820,000","2012","27","27","220","0'0""",""
"","Dallas Braden","2011","RP","OAK","$3,350,000","$0","$3,350,000","$3,350,000","0.044","$0","$3,350,000","1","$3,350,000","$0","2014","27","27","0","0'0""",""
"","Kyle Farnsworth","2012","RP","TB","$3,300,000","$0","$3,300,000","$3,300,000","0.047","$0","$3,250,000","1","$3,250,000","$0","2013","34","36","0","0'0""",""
"","Ryan Theriot","2011","2B","STL","$3,300,000","$0","$3,300,000","$3,300,000","0.028","$0","$3,300,000","1","$3,300,000","$0","2012","31","31","0","0'0""",""
"","Maicer Izturis","2011","2B","LAA","$3,100,000","$166,667","$3,266,667","$3,266,667","0.022","$3,100,000","$3,333,333","3","$10,000,000","$10,107,000","2013","29","30","155","5'8""",""
"","Wei-Yin Chen","2012","SP","BAL","$3,072,000","$83,333","$3,255,333","$3,255,333","0.039","$3,422,000","$3,796,000","3","$11,388,000","$3,422,000","0","26","26","200","0'0""",""
