"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","WAR","TVS","Cash2023",""
"","Amed Rosario","SS","NYM","157","0.969","152","0.938","616","177","30","7","15","72","0.287","0.323","0.432","0.755","2.97","53.70","$7,800,000",""
"","Freddie Freeman","1B","ATL","159","0.982","157","0.969","597","176","34","2","38","121","0.295","0.389","0.549","0.938","3.72","85.82","$20,000,000",""
"","Jonathan Villar","2B","BAL","162","1.000","159","0.982","642","176","32","5","24","73","0.274","0.339","0.452","0.791","4.33","83.23","$0",""
"","Mookie Betts","RF","BOS","151","0.932","148","0.914","597","176","40","5","29","80","0.295","0.391","0.524","0.915","7.27","92.38","$17,000,000",""
"","J.D. Martinez","DH","BOS","148","0.914","144","0.889","575","175","33","2","36","105","0.304","0.383","0.557","0.939","3.51","70.27","$10,000,000",""
"","Trey Mancini","LF","BAL","154","0.951","153","0.944","602","175","38","2","35","97","0.291","0.364","0.535","0.899","3.72","90.81","$7,000,000",""
"","Ronald Acuna Jr.","LF","ATL","156","0.963","154","0.951","626","175","22","2","41","101","0.280","0.365","0.518","0.883","5.09","94.18","$17,000,000",""
"","Anthony Rendon","3B","WSH","146","0.901","146","0.901","545","174","44","3","34","126","0.319","0.412","0.598","1.010","7.08","96.74","$38,000,000",""
"","Trevor Story","SS","COL","145","0.895","144","0.889","588","173","38","5","35","85","0.294","0.363","0.554","0.917","6.95","97.98","$20,000,000",""
"","David Fletcher","2B","LAA","154","0.951","146","0.901","596","173","30","4","6","49","0.290","0.350","0.384","0.734","3.75","60.04","$6,000,000",""
"","Starlin Castro","2B","MIA","162","1.000","159","0.982","636","172","31","4","22","86","0.270","0.300","0.436","0.736","1.05","23.30","$0",""
"","Eduardo Escobar","3B","ARI","158","0.975","154","0.951","636","171","29","10","35","118","0.269","0.321","0.511","0.831","3.34","79.56","$9,500,000",""
"","Cesar Hernandez","2B","PHI","161","0.994","155","0.957","612","171","31","3","14","71","0.279","0.333","0.408","0.741","1.94","39.32","$0",""
"","Cody Bellinger","RF","LAD","156","0.963","151","0.932","558","170","34","3","47","115","0.305","0.406","0.629","1.035","8.63","99.96","$12,000,000",""
"","Yulieski Gurriel","1B","HOU","146","0.901","143","0.883","564","168","40","2","31","104","0.298","0.343","0.541","0.884","3.92","74.04","$0",""
"","Tim Anderson","SS","CHW","126","0.783","122","0.758","498","167","32","0","18","56","0.335","0.357","0.508","0.865","4.17","81.58","$12,500,000",""
"","Elvis Andrus","SS","TEX","147","0.907","147","0.907","600","165","27","4","12","72","0.275","0.313","0.393","0.707","1.51","28.47","$0",""
"","Eric Hosmer","1B","SD","160","0.988","156","0.963","619","164","29","2","22","99","0.265","0.310","0.425","0.735","-0.45","9.02","$720,000",""
"","Alex Bregman","3B","HOU","157","0.969","156","0.963","554","164","37","2","41","112","0.296","0.423","0.592","1.015","8.89","98.52","$28,500,000",""
"","Jeff McNeil","2B","NYM","133","0.821","123","0.759","510","162","38","1","23","75","0.318","0.385","0.531","0.916","5.11","94.31","$6,250,000",""
"","Jean Segura","SS","PHI","146","0.901","141","0.870","576","161","37","4","12","60","0.280","0.323","0.420","0.743","1.71","22.51","$6,500,000",""
"","Leury Garcia","CF","CHW","143","0.888","136","0.845","577","161","27","3","8","40","0.279","0.310","0.378","0.688","1.30","36.32","$5,500,000",""
"","Christian Yelich","LF","MIL","131","0.809","127","0.784","489","161","29","3","44","97","0.329","0.429","0.671","1.100","6.95","99.97","$22,000,000",""
"","Yoan Moncada","2B","CHW","132","0.820","130","0.808","511","161","34","5","25","79","0.315","0.367","0.548","0.915","5.18","94.31","$18,000,000",""
"","Hanser Alberto","SS","BAL","140","0.864","127","0.784","524","160","21","2","12","51","0.305","0.329","0.422","0.751","3.47","48.75","$0",""
"","Starling Marte","CF","PIT","133","0.821","128","0.790","539","159","31","6","23","82","0.295","0.343","0.503","0.845","2.90","83.26","$22,000,000",""
"","Adam Eaton","RF","WSH","151","0.932","143","0.883","566","158","25","7","15","49","0.279","0.365","0.428","0.792","1.75","58.92","$0",""
"","Kevin Pillar","CF","SF","161","0.994","154","0.951","611","158","37","3","21","88","0.259","0.287","0.432","0.719","0.78","35.24","$0",""
"","Jorge Soler","DH","KC","162","1.000","161","0.994","589","156","33","1","48","117","0.265","0.354","0.569","0.922","3.50","91.44","$15,000,000",""
"","Eugenio Suarez","3B","CIN","159","0.982","152","0.938","575","156","22","2","49","103","0.271","0.358","0.572","0.930","3.43","86.57","$11,000,000",""
"","Paul Goldschmidt","1B","STL","161","0.994","155","0.957","597","155","25","1","34","97","0.260","0.346","0.476","0.821","2.58","30.97","$26,000,000",""
"","Tommy Pham","CF","TB","146","0.901","144","0.889","567","155","33","2","21","68","0.273","0.369","0.450","0.818","3.90","83.30","$6,000,000",""
"","Eddie Rosario","LF","MIN","137","0.846","132","0.815","562","155","28","1","32","109","0.276","0.300","0.500","0.800","1.53","61.07","$9,000,000",""
"","Trea Turner","SS","WSH","122","0.753","122","0.753","521","155","37","5","19","57","0.298","0.353","0.497","0.850","4.04","88.16","$27,272,727",""
"","Pete Alonso","1B","NYM","161","0.994","153","0.944","597","155","30","2","53","120","0.260","0.358","0.583","0.941","5.45","85.22","$14,500,000",""
"","Bryan Reynolds","OF","PIT","135","0.833","122","0.753","491","154","37","4","16","68","0.314","0.377","0.503","0.880","4.18","64.59","$6,750,000",""
"","Adam Frazier","2B","PIT","153","0.944","133","0.821","554","154","33","7","10","50","0.278","0.336","0.417","0.753","2.52","52.86","$8,000,000",""
"","Austin Meadows","CF","TB","139","0.858","129","0.796","530","154","29","7","33","89","0.291","0.364","0.558","0.922","3.94","94.36","$4,300,000",""
"","Kris Bryant","3B","CHC","148","0.914","145","0.895","543","153","35","1","31","77","0.282","0.382","0.521","0.903","4.44","79.03","$27,000,000",""
"","Juan Soto","LF","WSH","152","0.938","150","0.926","542","153","32","5","34","110","0.282","0.401","0.548","0.949","5.04","98.41","$23,000,000",""
"","Kevin Newman","SS","PIT","130","0.803","116","0.716","493","152","20","6","12","64","0.308","0.354","0.446","0.800","3.03","71.03","$2,662,000",""
"","Gleyber Torres","SS","NYY","144","0.889","142","0.877","546","152","26","0","38","90","0.278","0.337","0.535","0.871","3.03","89.08","$9,950,000",""
"","Anthony Rizzo","1B","CHC","146","0.901","144","0.889","512","150","29","3","27","94","0.293","0.405","0.520","0.924","4.25","91.27","$17,000,000",""
"","Manny Machado","3B","SD","156","0.963","154","0.951","587","150","21","2","32","85","0.256","0.334","0.462","0.796","2.56","20.05","$30,000,000",""
"","Shin-Soo Choo","DH","TEX","151","0.932","141","0.870","563","149","31","2","24","61","0.265","0.371","0.455","0.826","1.62","42.85","$0",""
"","Bryce Harper","RF","PHI","157","0.969","154","0.951","573","149","36","1","35","114","0.260","0.372","0.510","0.882","4.43","66.12","$26,000,000",""
"","Jose Altuve","2B","HOU","124","0.765","121","0.747","500","149","27","3","31","74","0.298","0.353","0.550","0.903","3.77","60.38","$26,000,000",""
"","Javier Baez","SS","CHC","141","0.870","131","0.809","531","149","38","4","29","85","0.281","0.316","0.531","0.847","6.58","82.94","$22,000,000",""
"","Alex Gordon","LF","KC","150","0.926","147","0.907","556","148","31","1","13","76","0.266","0.345","0.396","0.741","0.92","18.52","$0",""
"","J.T. Realmuto","C","PHI","145","0.895","133","0.821","538","148","36","3","25","83","0.275","0.328","0.493","0.820","4.50","77.47","$23,875,000",""
"","Lorenzo Cain","CF","MIL","148","0.914","134","0.827","562","146","30","0","11","48","0.260","0.325","0.372","0.697","2.64","23.63","$0",""
"","Josh Bell","1B","PIT","143","0.883","140","0.864","527","146","37","3","37","116","0.277","0.367","0.569","0.936","2.76","93.69","$16,500,000",""
"","Hunter Dozier","3B","KC","139","0.858","138","0.852","523","146","29","10","26","84","0.279","0.348","0.522","0.870","2.82","78.93","$7,250,000",""
"","Jose Iglesias","SS","CIN","146","0.901","136","0.840","504","145","21","3","11","59","0.288","0.318","0.407","0.724","0.98","29.35","$0",""
"","Freddy Galvis","SS","CIN","148","0.914","139","0.858","557","145","28","1","23","70","0.260","0.296","0.438","0.734","2.95","35.15","$0",""
"","Andrew Benintendi","LF","BOS","138","0.852","134","0.827","541","144","40","5","13","68","0.266","0.343","0.431","0.774","1.78","63.48","$11,000,000",""
"","Matt Chapman","3B","OAK","156","0.963","152","0.938","582","144","36","3","36","91","0.247","0.341","0.505","0.846","7.79","95.10","$12,000,000",""
"","Josh Donaldson","3B","ATL","157","0.969","149","0.920","549","142","33","0","37","94","0.259","0.379","0.521","0.900","5.42","77.88","$21,000,000",""
"","Nelson Cruz","DH","MIN","120","0.741","114","0.704","454","141","26","0","41","108","0.311","0.392","0.639","1.031","4.42","94.89","$1,000,000",""
"","Nick Ahmed","SS","ARI","159","0.982","155","0.957","556","141","32","7","19","82","0.254","0.316","0.439","0.755","4.20","67.56","$10,250,000",""
"","Michael Conforto","RF","NYM","151","0.932","143","0.883","549","141","29","1","33","92","0.257","0.363","0.494","0.856","3.59","84.89","$18,000,000",""
"","George Springer","CF","HOU","122","0.753","119","0.735","479","140","20","3","39","96","0.292","0.383","0.591","0.974","6.40","96.89","$22,500,000",""
"","Miguel Cabrera","1B","DET","137","0.851","133","0.826","492","139","21","0","12","59","0.283","0.347","0.398","0.745","0.00","1.92","$32,000,000",""
"","Justin Turner","3B","LAD","136","0.840","122","0.753","479","139","24","0","27","67","0.290","0.372","0.509","0.881","3.79","62.70","$8,300,000",""
"","Giovanny Urshela","3B","NYY","132","0.815","112","0.691","442","139","34","0","21","74","0.315","0.356","0.534","0.890","3.82","80.38","$9,283,000",""
"","Victor Robles","OF","WSH","156","0.963","147","0.907","546","139","33","3","17","65","0.255","0.326","0.419","0.745","4.37","75.72","$2,325,000",""
"","Josh Reddick","RF","HOU","142","0.877","130","0.803","501","138","19","3","14","56","0.275","0.319","0.409","0.728","1.28","15.74","$0",""
"","Avisail Garcia","RF","TB","126","0.778","122","0.753","489","138","25","2","20","72","0.282","0.332","0.464","0.796","2.24","60.32","$12,000,000",""
"","Joey Votto","1B","CIN","145","0.895","136","0.840","525","137","32","1","15","47","0.261","0.357","0.411","0.768","1.36","17.21","$25,000,000",""
"","Mike Trout","CF","LAA","136","0.840","133","0.821","470","137","27","2","45","104","0.292","0.438","0.645","1.083","7.89","97.56","$35,450,000",""
"","Miguel Rojas","SS","MIA","132","0.815","123","0.759","483","137","29","1","5","46","0.284","0.331","0.379","0.710","0.91","36.36","$5,000,000",""
"","Christian Walker","1B","ARI","152","0.938","135","0.833","529","137","26","1","29","73","0.259","0.348","0.476","0.825","2.76","76.27","$6,500,000",""
"","Wilson Ramos","C","NYM","142","0.877","115","0.710","473","136","19","0","14","72","0.288","0.351","0.416","0.768","2.08","30.19","$0",""
"","Kolten Wong","2B","STL","148","0.914","134","0.827","478","136","25","4","11","59","0.285","0.361","0.423","0.784","5.12","72.57","$8,250,000",""
"","Randal Grichuk","CF","TOR","151","0.932","148","0.914","586","136","29","5","31","80","0.232","0.280","0.457","0.738","0.72","23.52","$5,000,000",""
"","Paul DeJong","SS","STL","159","0.982","156","0.963","583","136","31","1","30","78","0.233","0.318","0.444","0.762","5.29","71.05","$9,000,000",""
"","Willy Adames","SS","TB","153","0.944","145","0.895","531","135","25","1","20","52","0.254","0.317","0.418","0.735","3.93","60.51","$8,700,000",""
"","Daniel Santana","2B","TEX","130","0.803","112","0.691","474","134","23","6","28","81","0.283","0.324","0.534","0.858","2.00","83.48","$0",""
"","Mike Moustakas","3B","MIL","143","0.883","134","0.827","523","133","30","1","35","87","0.254","0.329","0.516","0.845","2.60","67.79","$0",""
"","Christian Vazquez","C","BOS","138","0.852","122","0.753","482","133","26","1","23","72","0.276","0.321","0.477","0.798","2.31","51.56","$10,000,000",""
"","Corey Seager","SS","LAD","135","0.833","125","0.772","489","133","44","1","19","87","0.272","0.335","0.483","0.817","2.93","74.92","$35,000,000",""
"","Kyle Schwarber","LF","CHC","155","0.957","139","0.858","529","132","29","3","38","92","0.250","0.339","0.531","0.871","2.30","75.43","$20,000,000",""
"","Max Kepler","CF","MIN","136","0.840","127","0.784","524","132","32","0","36","90","0.252","0.336","0.519","0.855","3.95","82.69","$8,500,000",""
"","Renato Nunez","3B","BAL","151","0.932","138","0.852","541","132","24","0","31","90","0.244","0.311","0.460","0.771","0.36","53.06","$0",""
"","Ryan Braun","LF","MIL","144","0.889","114","0.704","459","131","31","2","22","75","0.285","0.343","0.505","0.849","1.69","29.29","$0",""
"","Jason Heyward","RF","CHC","148","0.914","137","0.846","513","129","20","4","21","62","0.252","0.344","0.429","0.772","2.42","19.57","$0",""
"","Colin Moran","3B","PIT","149","0.920","118","0.728","466","129","30","1","13","80","0.277","0.322","0.429","0.751","-1.00","24.58","$0",""
"","Matt Olson","1B","OAK","127","0.784","125","0.772","482","129","26","0","36","91","0.268","0.352","0.546","0.897","4.89","94.61","$21,000,000",""
"","Rhys Hoskins","1B","PHI","160","0.988","159","0.982","570","129","33","5","29","85","0.226","0.364","0.454","0.819","2.01","74.62","$12,000,000",""
"","Kole Calhoun","RF","LAA","152","0.938","146","0.901","552","128","29","1","33","74","0.232","0.325","0.467","0.792","1.63","54.68","$0",""
"","Adam Jones","CF","ARI","137","0.846","119","0.735","485","126","25","1","16","67","0.260","0.313","0.414","0.728","-0.77","24.39","$0",""
"","Yasmani Grandal","C","MIL","153","0.944","141","0.870","513","126","26","2","28","77","0.246","0.380","0.468","0.848","2.43","50.22","$18,250,000",""
"","Vladimir Guerrero Jr.","3B","TOR","124","0.765","118","0.728","464","126","26","2","15","69","0.272","0.339","0.433","0.772","2.09","55.74","$14,500,000",""
"","J.D. Davis","3B","NYM","140","0.864","99","0.611","410","126","22","1","22","57","0.307","0.369","0.527","0.895","1.17","59.93","$4,210,000",""
"","Yolmer Sanchez","3B","CHW","149","0.926","141","0.876","496","125","20","4","2","43","0.252","0.318","0.321","0.638","1.35","18.65","$0",""
"","Eloy Jimenez","OF","CHW","123","0.764","122","0.758","468","125","18","2","31","79","0.267","0.316","0.513","0.829","1.50","53.32","$9,500,000",""
"","Ramon Laureano","OF","OAK","123","0.759","115","0.710","434","125","29","0","24","67","0.288","0.340","0.521","0.860","3.48","87.35","$3,550,000",""
"","Brett Gardner","LF","NYY","142","0.877","131","0.809","491","123","26","7","28","74","0.251","0.326","0.503","0.829","4.28","74.36","$0",""
"","Brandon Belt","1B","SF","157","0.969","135","0.833","526","123","32","3","17","57","0.234","0.339","0.403","0.742","0.49","18.80","$9,300,000",""
"","Daniel Murphy","1B","COL","132","0.815","101","0.624","438","122","35","1","13","78","0.279","0.328","0.452","0.780","0.57","19.76","$0",""
"","Max Muncy","1B","LAD","142","0.877","130","0.803","487","122","22","1","35","98","0.251","0.374","0.515","0.889","5.29","96.74","$13,500,000",""
"","Dansby Swanson","SS","ATL","128","0.790","123","0.759","483","121","26","3","17","65","0.251","0.325","0.422","0.748","1.06","53.01","$20,000,000",""
"","Albert Pujols","1B","LAA","131","0.809","127","0.784","491","120","22","0","23","93","0.244","0.305","0.430","0.734","0.33","9.04","$0",""
"","James McCann","C","CHW","119","0.739","113","0.702","439","120","26","1","18","60","0.273","0.328","0.460","0.789","3.62","67.86","$1,000,000",""
"","Ryan McMahon","2B","COL","141","0.870","122","0.753","480","120","22","1","24","83","0.250","0.329","0.450","0.779","1.71","58.49","$9,000,000",""
"","Brian Anderson","3B","MIA","126","0.778","120","0.741","459","120","33","1","20","66","0.261","0.342","0.468","0.811","3.26","78.55","$0",""
"","Omar Narvaez","C","SEA","133","0.821","109","0.673","428","119","12","0","22","55","0.278","0.353","0.460","0.813","2.24","58.24","$8,000,000",""
"","Nick Markakis","RF","ATL","116","0.716","108","0.667","414","118","25","2","9","62","0.285","0.356","0.420","0.776","0.71","39.67","$0",""
"","Marcell Ozuna","LF","STL","131","0.809","129","0.796","485","118","23","1","29","89","0.243","0.330","0.474","0.804","2.26","56.30","$16,000,000",""
"","Scott Kingery","SS","PHI","126","0.778","115","0.710","458","118","34","4","19","55","0.258","0.315","0.474","0.788","2.52","65.29","$0",""
"","Raimel Tapia","CF","COL","139","0.858","91","0.562","426","117","23","5","9","44","0.275","0.309","0.415","0.724","-0.61","17.74","$0",""
"","Asdrubal Cabrera","2B","WSH","132","0.815","122","0.753","447","116","25","1","18","91","0.260","0.342","0.441","0.783","-0.23","52.47","$0",""
"","Dexter Fowler","CF","STL","150","0.926","132","0.815","487","116","24","1","19","67","0.238","0.346","0.409","0.754","1.42","24.90","$0",""
"","C.J. Cron","1B","MIN","125","0.772","113","0.698","458","116","24","0","25","78","0.253","0.311","0.469","0.780","1.40","44.75","$7,250,000",""
"","Mallex Smith","LF","SEA","134","0.827","124","0.765","510","116","19","9","6","37","0.228","0.300","0.335","0.635","0.00","37.07","$0",""
"","Harold Ramirez","RF","MIA","119","0.735","100","0.617","421","116","20","3","11","50","0.276","0.312","0.416","0.728","0.10","27.36","$2,242,676",""
"","Howie Kendrick","LF","WSH","122","0.753","71","0.438","334","115","23","1","17","62","0.344","0.395","0.572","0.966","2.79","78.49","$0",""
"","Evan Longoria","3B","SF","130","0.803","117","0.722","453","115","19","2","20","69","0.254","0.325","0.437","0.762","2.44","27.36","$4,000,000",""
"","Eric Sogard","2B","TB","112","0.691","91","0.562","396","115","23","2","13","40","0.290","0.353","0.457","0.810","2.39","62.98","$0",""
"","Nomar Mazara","RF","TEX","117","0.722","108","0.667","429","115","27","1","19","66","0.268","0.318","0.469","0.786","0.99","47.59","$0",""
"","Brandon Crawford","SS","SF","147","0.907","137","0.846","500","114","24","2","11","59","0.228","0.304","0.350","0.654","-0.53","9.06","$16,000,000",""
"","Domingo Santana","RF","SEA","122","0.753","115","0.710","451","114","20","1","21","69","0.253","0.329","0.441","0.770","0.49","49.94","$0",""
"","Yadier Molina","C","STL","113","0.698","108","0.667","419","113","24","0","10","57","0.270","0.312","0.399","0.711","1.31","9.76","$0",""
"","Ian Desmond","CF","COL","140","0.864","107","0.661","443","113","31","4","20","65","0.255","0.310","0.479","0.788","-1.46","10.41","$0",""
"","Jorge Alfaro","C","MIA","131","0.809","113","0.698","431","113","14","1","18","57","0.262","0.312","0.425","0.736","1.02","32.84","$0",""
"","David Dahl","LF","COL","101","0.624","92","0.568","374","113","28","5","15","61","0.302","0.353","0.524","0.877","0.82","70.30","$0",""
"","Luke Voit","1B","NYY","118","0.728","115","0.710","429","113","21","1","21","62","0.263","0.378","0.464","0.842","1.27","77.36","$0",""
"","Todd Frazier","3B","NYM","133","0.821","117","0.722","447","112","19","2","21","67","0.251","0.329","0.443","0.772","2.13","39.06","$0",""
"","Marwin Gonzalez","3B","MIN","116","0.716","108","0.667","425","112","19","0","15","55","0.264","0.322","0.414","0.736","1.89","25.08","$0",""
"","Joc Pederson","LF","LAD","149","0.920","110","0.679","450","112","16","3","36","74","0.249","0.339","0.538","0.876","2.78","73.80","$19,650,000",""
"","Mark Canha","CF","OAK","126","0.778","112","0.691","409","112","16","3","26","59","0.274","0.397","0.518","0.916","4.20","93.01","$10,500,000",""
"","Jonathan Schoop","2B","MIN","122","0.753","113","0.698","433","111","23","1","23","59","0.256","0.304","0.473","0.777","1.52","37.44","$7,500,000",""
"","Jackie Bradley Jr.","CF","BOS","148","0.914","138","0.852","494","111","28","3","21","62","0.225","0.317","0.421","0.738","2.04","37.07","$0",""
"","Orlando Arcia","SS","MIL","152","0.938","139","0.858","494","110","16","1","15","59","0.223","0.283","0.350","0.633","-0.73","15.50","$1,300,000",""
"","Shohei Ohtani","DH","LAA","106","0.654","91","0.562","384","110","20","5","18","62","0.287","0.343","0.505","0.848","2.45","78.86","$30,000,000",""
"","Adalberto Mondesi","SS","KC","102","0.630","101","0.624","415","109","20","10","9","62","0.263","0.291","0.424","0.715","2.06","78.12","$3,045,000",""
"","Luis Arraez","2B","MIN","92","0.568","82","0.506","326","109","20","1","4","28","0.334","0.399","0.439","0.838","1.61","0.00","$6,100,000",""
"","Dee Strange-Gordon","2B","SEA","118","0.728","107","0.661","393","108","12","6","3","34","0.275","0.304","0.359","0.663","1.14","11.11","$0",""
"","Brian Goodwin","RF","LAA","136","0.840","101","0.624","413","108","29","3","17","47","0.262","0.326","0.470","0.796","2.22","56.27","$0",""
"","Joe Panik","2B","NYM","142","0.877","104","0.642","438","107","21","2","5","39","0.244","0.315","0.336","0.651","-1.10","0.00","$0",""
"","Rougned Odor","2B","TEX","146","0.901","138","0.852","522","107","30","1","30","93","0.205","0.283","0.439","0.721","-0.26","27.20","$0",""
"","Ji-Man Choi","1B","TB","127","0.784","106","0.654","410","107","20","2","19","63","0.261","0.363","0.459","0.822","2.11","64.01","$4,597,932",""
"","Garrett Cooper","RF","MIA","108","0.667","99","0.611","381","107","16","1","15","50","0.281","0.344","0.446","0.791","1.42","51.56","$4,200,000",""
"","Melky Cabrera","LF","PIT","133","0.821","82","0.506","378","106","22","1","7","47","0.280","0.313","0.399","0.713","-1.27","10.55","$0",""
"","Khris Davis","DH","OAK","136","0.840","127","0.784","480","106","11","0","23","73","0.221","0.293","0.388","0.681","-0.18","6.69","$0",""
"","Fernando Tatis Jr.","SS","SD","84","0.519","82","0.506","334","106","13","6","22","53","0.317","0.379","0.590","0.969","4.17","0.00","$5,617,284",""
"","Andrelton Simmons","SS","LAA","104","0.642","99","0.611","398","105","19","0","7","40","0.264","0.309","0.364","0.673","1.46","23.29","$0",""
"","David Peralta","LF","ARI","100","0.617","92","0.568","382","105","29","3","12","57","0.275","0.343","0.461","0.804","1.62","50.31","$0",""
"","Niko Goodrum","LF","DET","115","0.714","109","0.677","423","105","27","5","12","45","0.248","0.322","0.421","0.743","1.43","54.20","$0",""
"","Buster Posey","C","SF","114","0.704","101","0.624","405","104","24","0","7","38","0.257","0.320","0.368","0.688","0.78","5.13","$0",""
"","Wil Myers","LF","SD","155","0.957","107","0.661","435","104","22","1","18","53","0.239","0.321","0.418","0.739","-0.39","11.83","$6,000,000",""
"","Aaron Judge","RF","NYY","102","0.630","99","0.611","378","103","18","1","27","55","0.273","0.381","0.540","0.921","5.61","97.16","$40,000,000",""
"","Harold Castro","3B","DET","97","0.603","87","0.540","353","103","10","4","5","38","0.292","0.307","0.385","0.692","-0.97","16.43","$0",""
"","Edwin Encarnacion","DH","NYY","111","0.685","108","0.667","418","102","18","0","34","86","0.244","0.344","0.531","0.875","2.05","56.24","$0",""
"","Kevin Kiermaier","CF","TB","129","0.796","118","0.728","447","102","19","7","14","55","0.228","0.278","0.396","0.674","2.36","30.18","$9,000,000",""
"","Robbie Grossman","DH","OAK","138","0.852","103","0.636","420","101","22","3","6","38","0.241","0.334","0.350","0.684","0.96","27.29","$0",""
"","Alex Verdugo","LF","LAD","108","0.667","82","0.506","343","101","22","2","12","44","0.295","0.342","0.475","0.817","2.95","63.74","$6,300,000",""
"","Mike Yastrzemski","OF","SF","107","0.661","89","0.549","371","101","22","3","21","55","0.272","0.334","0.518","0.852","2.57","76.60","$6,100,000",""
"","Robinson Cano","2B","NYM","107","0.661","100","0.617","390","100","28","0","13","39","0.256","0.307","0.428","0.736","0.58","4.87","$0",""
"","Jurickson Profar","SS","OAK","139","0.858","126","0.778","459","100","24","2","20","67","0.218","0.301","0.410","0.711","-0.08","34.52","$0",""
"","Brian Dozier","2B","WSH","135","0.833","114","0.704","416","99","20","0","20","50","0.238","0.340","0.430","0.771","1.27","27.48","$0",""
"","Tommy Edman","SS","STL","92","0.568","75","0.463","326","99","17","7","11","36","0.304","0.350","0.500","0.850","3.92","0.00","$4,200,000",""
"","Anthony Santander","OF","BAL","94","0.580","92","0.568","380","99","20","1","20","59","0.261","0.297","0.476","0.773","1.48","0.00","$7,400,000",""
"","Eric Thames","1B","MIL","149","0.920","98","0.605","396","98","23","2","25","61","0.248","0.346","0.505","0.851","1.35","52.45","$0",""
"","Enrique Hernandez","CF","LAD","130","0.803","100","0.617","414","98","19","1","17","64","0.237","0.304","0.411","0.715","2.00","34.63","$10,000,000",""
"","Willson Contreras","C","CHC","105","0.648","95","0.586","360","98","18","2","24","64","0.272","0.355","0.533","0.888","3.18","84.78","$10,000,000",""
"","Yordan Alvarez","1B","HOU","87","0.537","83","0.512","313","98","26","0","27","78","0.313","0.412","0.655","1.067","3.74","0.00","$12,000,000",""
"","Brandon Dixon","1B","DET","118","0.733","97","0.603","391","97","20","4","15","52","0.248","0.290","0.435","0.725","-0.52","25.97","$0",""
"","Chris Taylor","2B","LAD","124","0.765","90","0.556","366","96","29","4","12","52","0.262","0.333","0.462","0.794","1.50","51.23","$15,000,000",""
"","Dan Vogelbach","1B","SEA","144","0.889","129","0.796","462","96","17","0","30","76","0.208","0.341","0.439","0.780","1.11","60.56","$1,500,000",""
"","Nick Senzel","OF","CIN","106","0.654","94","0.580","375","96","20","4","12","42","0.256","0.315","0.427","0.742","0.13","45.15","$1,950,000",""
"","Teoscar Hernandez","LF","TOR","125","0.772","111","0.685","417","96","19","2","26","65","0.230","0.306","0.472","0.778","1.37","50.94","$14,463,983",""
"","Hunter Renfroe","RF","SD","142","0.877","111","0.685","440","95","19","1","33","64","0.216","0.289","0.489","0.778","2.35","60.72","$12,243,103",""
"","Keston Hiura","2B","MIL","84","0.519","80","0.494","314","95","23","2","19","49","0.303","0.368","0.570","0.938","1.94","0.00","$2,200,000",""
"","Matt Carpenter","1B","STL","129","0.796","106","0.654","416","94","20","2","15","46","0.226","0.334","0.392","0.726","1.13","12.53","$6,500,000",""
"","Tony Wolters","C","COL","122","0.753","102","0.630","359","94","17","2","1","42","0.262","0.337","0.329","0.666","1.66","20.93","$0",""
