"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","WAR","TVS","Cash2023",""
"","Wilmer Difo","SS","WSH","148","0.914","104","0.642","408","94","14","7","7","42","0.230","0.298","0.350","0.649","-0.19","19.31","$0",""
"","Isiah Kiner-Falefa","3B","TEX","111","0.685","94","0.580","356","93","19","2","4","34","0.261","0.325","0.360","0.684","1.69","34.56","$6,000,000",""
"","Shohei Ohtani","DH","LAA","114","0.704","92","0.568","326","93","21","2","22","61","0.285","0.361","0.564","0.925","2.73","93.20","$30,000,000",""
"","Evan Gattis","C","HOU","128","0.790","106","0.654","407","92","17","0","25","78","0.226","0.284","0.452","0.736","0.22","28.75","$0",""
"","Jedd Gyorko","3B","STL","125","0.772","89","0.549","351","92","19","1","11","47","0.262","0.346","0.416","0.762","0.82","38.62","$0",""
"","Joe Panik","2B","SF","103","0.636","91","0.562","358","91","14","1","4","24","0.254","0.307","0.332","0.639","-0.30","12.72","$0",""
"","Mark Canha","LF","OAK","123","0.759","100","0.617","365","91","22","0","17","52","0.249","0.329","0.449","0.778","1.70","55.03","$10,500,000",""
"","Ronald Guzman","1B","TEX","123","0.759","105","0.648","387","91","18","2","16","58","0.235","0.306","0.416","0.722","0.79","37.86","$0",""
"","Jorge Alfaro","C","PHI","108","0.667","98","0.605","344","90","16","2","10","37","0.262","0.324","0.407","0.731","1.60","38.06","$0",""
"","Ian Happ","CF","CHC","142","0.871","102","0.626","387","90","19","2","15","44","0.233","0.353","0.408","0.761","0.75","47.55","$10,850,000",""
"","Travis Jankowski","RF","SD","118","0.728","78","0.482","347","90","12","3","4","17","0.259","0.333","0.346","0.678","1.27","37.48","$0",""
"","Brock Holt","2B","BOS","109","0.673","84","0.519","321","89","18","2","7","46","0.277","0.362","0.411","0.774","1.19","48.79","$0",""
"","Jacoby Jones","CF","DET","129","0.796","117","0.722","429","89","22","6","11","34","0.208","0.266","0.364","0.630","1.76","34.60","$0",""
"","Kolten Wong","2B","STL","127","0.784","98","0.605","353","88","18","2","9","38","0.249","0.332","0.388","0.720","2.85","42.31","$8,250,000",""
"","Adam Frazier","2B","PIT","113","0.702","67","0.416","318","88","23","2","10","35","0.277","0.342","0.456","0.798","2.71","58.21","$8,000,000",""
"","Todd Frazier","3B","NYM","115","0.710","109","0.673","408","87","19","0","18","59","0.213","0.303","0.392","0.695","2.47","40.25","$0",""
"","Jorge Polanco","SS","MIN","77","0.475","76","0.469","302","87","18","3","6","42","0.288","0.346","0.427","0.773","0.88","0.00","$7,500,000",""
"","Francisco Cervelli","C","PIT","106","0.658","98","0.609","332","86","15","3","12","57","0.259","0.378","0.431","0.809","2.94","56.18","$0",""
"","Mark Trumbo","DH","BAL","90","0.556","87","0.537","330","86","12","0","17","44","0.261","0.313","0.452","0.764","0.36","0.00","$0",""
"","Josh Harrison","2B","PIT","98","0.609","84","0.522","344","86","13","1","8","37","0.250","0.293","0.363","0.656","0.49","13.95","$2,000,000",""
"","Logan Forsythe","2B","MIN","120","0.741","97","0.599","371","86","16","0","2","27","0.232","0.313","0.291","0.604","-0.36","6.05","$0",""
"","Cameron Maybin","CF","SEA","129","0.796","82","0.506","342","85","14","2","4","28","0.249","0.326","0.336","0.662","0.73","19.65","$0",""
"","Austin Jackson","CF","NYM","116","0.716","83","0.512","347","85","17","1","3","32","0.245","0.299","0.326","0.624","-1.06","7.69","$0",""
"","Tim Beckham","SS","BAL","96","0.593","96","0.593","369","85","17","0","12","35","0.230","0.287","0.374","0.661","0.39","0.00","$0",""
"","Martin Maldonado","C","HOU","119","0.735","111","0.685","373","84","18","1","9","44","0.225","0.276","0.351","0.627","0.26","11.71","$4,000,000",""
"","Ehire Adrianza","SS","MIN","115","0.710","95","0.586","335","84","23","1","6","39","0.251","0.301","0.379","0.680","0.02","22.13","$0",""
"","Avisail Garcia","RF","CHW","93","0.574","91","0.562","356","84","11","2","19","49","0.236","0.281","0.438","0.719","0.49","0.00","$12,000,000",""
"","Jesse Winker","RF","CIN","90","0.556","75","0.463","281","84","16","0","7","43","0.299","0.405","0.431","0.836","0.14","0.00","$8,250,000",""
"","Curtis Granderson","RF","MIL","123","0.755","87","0.534","343","83","22","2","13","38","0.242","0.351","0.431","0.782","0.68","39.12","$0",""
"","Daniel Descalso","3B","ARI","138","0.852","90","0.556","349","83","22","4","13","57","0.238","0.353","0.436","0.789","0.57","50.33","$0",""
"","David Freese","3B","LAD","113","0.693","66","0.405","280","83","12","2","11","51","0.296","0.359","0.471","0.830","1.42","44.78","$0",""
"","Christian Villanueva","3B","SD","111","0.685","93","0.574","351","83","15","0","20","46","0.237","0.300","0.450","0.750","1.81","50.68","$0",""
"","Devon Travis","2B","TOR","104","0.642","94","0.580","357","83","14","3","11","44","0.233","0.275","0.381","0.656","0.74","23.38","$0",""
"","Hunter Dozier","1B","KC","104","0.642","95","0.586","362","83","19","4","11","34","0.229","0.278","0.395","0.673","-1.99","16.40","$7,250,000",""
"","Orlando Arcia","SS","MIL","119","0.730","92","0.564","348","82","16","0","3","30","0.236","0.269","0.307","0.576","0.37","7.60","$1,300,000",""
"","Mitch Garver","C","MIN","103","0.636","82","0.506","302","81","19","2","7","45","0.268","0.335","0.414","0.749","0.97","38.05","$3,900,000",""
"","Yairo Munoz","SS","STL","108","0.667","72","0.444","293","81","16","0","8","42","0.277","0.350","0.413","0.763","0.32","36.14","$0",""
"","Robinson Chirinos","C","TEX","114","0.704","105","0.648","360","80","15","1","18","65","0.222","0.338","0.419","0.757","1.71","58.04","$0",""
"","Hernan Perez","2B","MIL","132","0.810","66","0.405","316","80","11","2","9","29","0.253","0.290","0.386","0.676","1.68","18.00","$0",""
"","Charlie Culberson","3B","ATL","113","0.698","64","0.395","296","80","18","2","12","45","0.270","0.326","0.466","0.792","0.70","47.13","$0",""
"","Wil Myers","LF","SD","84","0.519","78","0.482","312","80","25","2","11","39","0.256","0.321","0.455","0.776","2.09","0.00","$6,000,000",""
"","Michael Taylor","CF","WSH","134","0.827","87","0.537","353","80","22","3","6","28","0.227","0.287","0.357","0.644","1.30","23.96","$4,500,000",""
"","Willy Adames","SS","TB","86","0.531","80","0.494","288","80","7","0","10","34","0.278","0.348","0.406","0.754","1.06","0.00","$8,700,000",""
"","Chris Davis","1B","BAL","129","0.796","127","0.784","470","79","12","0","16","49","0.168","0.243","0.296","0.539","-3.25","0.15","$0",""
"","Lucas Duda","1B","ATL","108","0.667","85","0.525","328","79","14","1","14","50","0.241","0.313","0.418","0.731","0.49","28.73","$0",""
"","David Fletcher","SS","LAA","80","0.494","70","0.432","284","78","18","2","1","25","0.275","0.316","0.363","0.678","1.83","0.00","$6,000,000",""
"","Manuel Pina","C","MIL","98","0.601","84","0.515","306","77","13","2","9","28","0.252","0.307","0.395","0.702","1.08","31.77","$4,500,000",""
"","Omar Narvaez","C","CHW","97","0.599","80","0.494","280","77","14","1","9","30","0.275","0.366","0.429","0.794","1.77","0.00","$8,000,000",""
"","Chad Pinder","LF","OAK","110","0.679","77","0.475","298","77","12","1","13","27","0.258","0.332","0.436","0.769","2.05","45.76","$0",""
"","Ryan Zimmerman","1B","WSH","86","0.531","72","0.444","288","76","21","2","13","51","0.264","0.338","0.486","0.824","1.60","0.00","$0",""
"","Neil Walker","2B","NYY","113","0.698","95","0.586","347","76","12","1","11","46","0.219","0.309","0.354","0.664","-0.14","18.33","$0",""
"","Adalberto Mondesi","SS","KC","75","0.463","70","0.432","275","76","13","3","14","37","0.276","0.306","0.498","0.804","2.16","0.00","$3,045,000",""
"","Jake Cave","RF","MIN","91","0.562","78","0.482","283","76","17","2","13","45","0.269","0.316","0.481","0.797","1.65","0.00","$950,000",""
"","Lewis Brinson","CF","MIA","109","0.677","100","0.621","382","76","10","5","11","42","0.199","0.240","0.338","0.577","-0.98","11.60","$0",""
"","Carlos Gomez","RF","TB","118","0.728","97","0.599","360","75","15","2","9","32","0.208","0.298","0.336","0.634","0.73","20.15","$0",""
"","Mike Zunino","C","SEA","114","0.704","102","0.630","373","75","18","0","20","44","0.201","0.259","0.410","0.669","1.87","30.65","$6,000,000",""
"","Adam Duvall","LF","ATL","138","0.852","91","0.562","384","75","20","0","15","61","0.195","0.274","0.365","0.639","1.26","26.34","$7,000,000",""
"","John Hicks","1B","DET","81","0.500","76","0.469","288","75","12","1","9","32","0.260","0.312","0.403","0.715","0.03","0.00","$0",""
"","Alen Hanson","2B","SF","110","0.679","65","0.401","294","74","17","5","8","39","0.252","0.274","0.425","0.699","0.38","23.96","$0",""
"","Daniel Robertson","SS","TB","88","0.543","80","0.494","282","74","16","0","9","34","0.262","0.382","0.415","0.797","2.76","0.00","$0",""
"","Jeff McNeil","3B","NYM","63","0.389","53","0.327","225","74","11","6","3","19","0.329","0.381","0.471","0.852","3.22","0.00","$6,250,000",""
"","Adeiny Hechavarria","SS","NYY","94","0.580","80","0.494","296","73","11","0","6","31","0.247","0.279","0.345","0.624","0.67","0.00","$0",""
"","Matt Adams","1B","STL","121","0.747","71","0.438","306","73","10","0","21","57","0.239","0.309","0.477","0.786","1.37","35.31","$0",""
"","Franmil Reyes","RF","SD","87","0.537","71","0.438","261","73","9","0","16","31","0.280","0.340","0.498","0.838","1.49","0.00","$0",""
"","Delino DeShields","CF","TEX","107","0.661","93","0.574","334","72","14","1","2","22","0.216","0.310","0.281","0.591","1.20","30.76","$0",""
"","Kevin Kiermaier","CF","TB","89","0.549","86","0.531","332","72","12","9","7","29","0.217","0.282","0.370","0.653","2.33","0.00","$9,000,000",""
"","Elias Diaz","C","PIT","82","0.509","60","0.373","252","72","12","0","10","34","0.286","0.339","0.452","0.792","1.69","0.00","$5,500,000",""
"","Jay Bruce","RF","NYM","95","0.586","84","0.519","319","71","18","1","9","37","0.223","0.310","0.370","0.680","-0.85","0.00","$0",""
"","J.T. Riddle","SS","MIA","104","0.646","75","0.466","308","71","10","4","9","36","0.231","0.277","0.377","0.653","1.51","20.86","$0",""
"","Leury Garcia","RF","CHW","82","0.506","63","0.389","258","70","7","4","4","32","0.271","0.303","0.376","0.679","0.90","0.00","$5,500,000",""
"","Cory Spangenberg","2B","SD","116","0.716","66","0.407","298","70","9","4","7","25","0.235","0.299","0.362","0.661","0.87","17.42","$0",""
"","Austin Hedges","C","SD","92","0.568","81","0.500","303","70","14","2","14","37","0.231","0.282","0.429","0.711","1.18","0.00","$5,000,000",""
"","Ben Gamel","LF","SEA","102","0.630","69","0.426","257","70","14","4","1","19","0.272","0.358","0.370","0.728","0.50","30.01","$0",""
"","Lourdes Gurriel Jr.","2B","TOR","65","0.401","62","0.383","249","70","8","0","11","35","0.281","0.309","0.446","0.755","0.17","0.00","$5,400,000",""
"","Guillermo Heredia","CF","SEA","125","0.772","88","0.543","292","69","14","1","5","19","0.236","0.318","0.342","0.661","0.42","11.57","$0",""
"","Nick Hundley","C","SF","96","0.593","71","0.438","282","68","13","2","10","31","0.241","0.298","0.408","0.706","0.26","0.00","$0",""
"","David Dahl","OF","COL","77","0.472","59","0.362","249","68","11","3","16","48","0.273","0.325","0.534","0.859","0.73","0.00","$0",""
"","Chris Iannetta","C","COL","110","0.675","84","0.515","299","67","13","1","11","36","0.224","0.345","0.385","0.730","-0.63","23.43","$0",""
"","Tony Kemp","LF","HOU","97","0.599","76","0.469","255","67","15","0","6","30","0.263","0.351","0.392","0.743","0.57","0.00","$3,725,000",""
"","Jose Bautista","RF","PHI","122","0.753","84","0.519","325","66","18","0","13","48","0.203","0.348","0.378","0.727","-0.35","38.83","$0",""
"","Rosell Herrera","SS","KC","86","0.531","68","0.420","278","65","14","3","1","20","0.234","0.286","0.317","0.602","-0.20","0.00","$0",""
"","Jake Bauers","1B","TB","96","0.593","89","0.549","323","65","22","2","11","48","0.201","0.316","0.384","0.700","0.48","0.00","$0",""
"","Steven Pearce","LF","BOS","77","0.475","56","0.346","215","61","14","1","11","42","0.284","0.379","0.512","0.890","0.37","0.00","$0",""
"","Renato Nunez","LF","BAL","73","0.451","67","0.414","236","61","14","0","8","22","0.259","0.322","0.419","0.741","-0.07","0.00","$0",""
"","Nicky Delmonico","LF","CHW","90","0.556","78","0.482","284","61","11","5","8","25","0.215","0.296","0.373","0.669","-0.98","0.00","$0",""
"","Gary Sanchez","C","NYY","89","0.549","86","0.531","323","60","17","0","18","53","0.186","0.291","0.406","0.697","1.14","0.00","$0",""
"","Logan Morrison","DH","MIN","95","0.586","82","0.506","318","59","13","0","15","39","0.186","0.276","0.368","0.644","-0.24","0.00","$0",""
"","Austin Romine","C","NYY","78","0.482","68","0.420","242","59","12","0","10","42","0.244","0.296","0.417","0.713","1.30","0.00","$0",""
"","Jorge Soler","LF","KC","61","0.377","61","0.377","223","59","18","0","9","28","0.265","0.354","0.466","0.820","0.22","0.00","$15,000,000",""
"","Caleb Joseph","C","BAL","84","0.519","79","0.488","265","58","14","2","3","17","0.219","0.255","0.321","0.575","0.26","0.00","$0",""
"","Chris Owings","RF","ARI","106","0.654","63","0.389","281","58","15","0","4","22","0.206","0.272","0.302","0.574","-0.37","7.81","$0",""
"","Tyler White","DH","HOU","66","0.407","53","0.327","210","58","12","3","12","42","0.276","0.354","0.533","0.888","1.33","0.00","$0",""
"","Pablo Sandoval","3B","SF","92","0.568","54","0.333","230","57","10","1","9","40","0.248","0.310","0.417","0.727","0.16","0.00","$0",""
"","Tyler Flowers","C","ATL","82","0.506","71","0.438","251","57","9","0","8","30","0.227","0.341","0.359","0.700","0.70","0.00","$0",""
"","Russell Martin","C","TOR","90","0.556","89","0.549","289","56","8","0","10","25","0.194","0.338","0.325","0.663","1.43","0.00","$0",""
"","Matt Wieters","C","WSH","76","0.469","64","0.395","235","56","8","0","8","30","0.238","0.330","0.374","0.704","0.39","0.00","$0",""
"","Domingo Santana","RF","MIL","85","0.522","48","0.295","211","56","14","1","5","20","0.265","0.328","0.412","0.740","1.03","0.00","$0",""
"","Tyler Austin","1B","MIN","69","0.426","66","0.407","244","56","10","0","17","47","0.230","0.287","0.480","0.767","0.28","0.00","$0",""
"","Phillip Ervin","CF","CIN","78","0.482","56","0.346","218","55","10","1","7","31","0.252","0.324","0.404","0.728","-0.52","0.00","$0",""
"","Eric Thames","1B","MIL","96","0.589","58","0.356","247","54","10","3","16","37","0.219","0.306","0.478","0.783","0.38","0.00","$0",""
"","Devin Mesoraco","C","NYM","85","0.525","66","0.407","244","54","10","0","11","33","0.221","0.303","0.398","0.700","-0.05","0.00","$0",""
"","Greg Bird","1B","NYY","82","0.506","72","0.444","272","54","16","1","11","38","0.199","0.286","0.386","0.672","0.10","0.00","$0",""
"","Hunter Pence","RF","SF","97","0.599","49","0.303","235","53","11","1","4","24","0.226","0.258","0.332","0.590","-1.01","0.00","$0",""
"","Jorge Bonifacio","RF","KC","70","0.432","64","0.395","236","53","16","2","4","23","0.225","0.312","0.360","0.672","-0.32","0.00","$0",""
"","Steven Souza","RF","ARI","72","0.444","64","0.395","241","53","15","3","5","29","0.220","0.309","0.369","0.678","-0.40","0.00","$0",""
"","Miguel Sano","3B","MIN","71","0.438","70","0.432","266","53","14","0","13","41","0.199","0.281","0.398","0.679","-0.44","0.00","$0",""
"","Dexter Fowler","CF","STL","90","0.556","74","0.457","289","52","10","0","8","31","0.180","0.278","0.298","0.576","-1.38","0.00","$0",""
"","Christian Vazquez","C","BOS","80","0.494","67","0.414","251","52","10","0","3","16","0.207","0.258","0.283","0.540","-0.94","0.00","$10,000,000",""
"","Joey Rickard","LF","BAL","79","0.488","56","0.346","213","52","10","1","8","23","0.244","0.300","0.413","0.713","0.53","0.00","$0",""
"","Mark Reynolds","3B","WSH","86","0.531","43","0.265","206","51","8","0","13","40","0.248","0.328","0.476","0.803","-0.01","0.00","$0",""
"","Austin Meadows","CF","TB","59","0.364","40","0.247","178","51","9","2","6","17","0.287","0.325","0.461","0.785","-0.18","0.00","$4,300,000",""
"","Kevan Smith","C","CHW","52","0.321","46","0.284","171","50","6","0","3","21","0.292","0.348","0.380","0.728","0.48","0.00","$0",""
"","Max Stassi","C","HOU","88","0.543","65","0.401","221","50","13","0","8","27","0.226","0.316","0.394","0.710","1.05","0.00","$7,000,000",""
"","Ji-Man Choi","1B","TB","61","0.377","53","0.327","190","50","14","1","10","32","0.263","0.358","0.505","0.863","-0.04","0.00","$4,597,932",""
"","Kevin Plawecki","C","NYM","79","0.488","66","0.407","238","50","13","2","7","30","0.210","0.315","0.370","0.685","1.17","0.00","$0",""
"","Luke Maile","C","TOR","69","0.426","58","0.358","202","50","13","1","3","27","0.248","0.333","0.366","0.700","0.96","0.00","$1,175,000",""
"","Austin Slater","LF","SF","74","0.457","51","0.315","199","50","6","1","1","23","0.251","0.333","0.307","0.640","-0.31","0.00","$3,200,000",""
"","Zack Cozart","SS","LAA","59","0.364","58","0.358","224","49","13","2","5","18","0.219","0.296","0.362","0.658","0.09","0.00","$0",""
"","Johnny Field","OF","MIN","84","0.519","58","0.358","221","49","13","0","9","21","0.222","0.254","0.403","0.657","0.48","0.00","$0",""
"","Martin Prado","3B","MIA","54","0.335","50","0.311","197","48","9","0","1","18","0.244","0.287","0.305","0.592","-0.35","0.00","$0",""
"","Erik Kratz","C","MIL","67","0.411","54","0.331","203","48","6","0","6","23","0.237","0.280","0.355","0.634","0.00","0.00","$0",""
"","Sandy Leon","C","BOS","90","0.556","78","0.482","265","47","12","0","5","22","0.177","0.232","0.279","0.511","-0.47","0.00","$0",""
"","Jim Adduci","CF","DET","59","0.364","46","0.284","176","47","8","2","3","21","0.267","0.290","0.386","0.676","-0.34","0.00","$0",""
"","Victor Reyes","LF","DET","100","0.617","53","0.327","212","47","5","3","1","12","0.222","0.239","0.288","0.526","-1.22","3.30","$0",""
"","Howie Kendrick","LF","WSH","40","0.247","37","0.228","152","46","14","0","4","12","0.303","0.331","0.474","0.805","0.31","0.00","$0",""
"","Jake Lamb","3B","ARI","56","0.346","52","0.321","207","46","8","0","6","31","0.222","0.307","0.348","0.655","0.51","0.00","$0",""
"","Ryan LaMarre","CF","CHW","76","0.469","47","0.290","165","46","11","0","2","18","0.279","0.322","0.382","0.704","-0.16","0.00","$0",""
"","Luke Voit","1B","NYY","47","0.290","37","0.228","143","46","5","0","15","36","0.322","0.398","0.671","1.069","0.09","0.00","$0",""
"","Tommy La Stella","3B","CHC","124","0.761","24","0.147","169","45","8","0","1","19","0.266","0.340","0.331","0.672","0.10","6.69","$720,000",""
"","Jake Marisnick","CF","HOU","103","0.636","57","0.352","213","45","8","1","10","28","0.211","0.275","0.399","0.674","1.78","24.30","$0",""
"","Mikie Mahtook","LF","DET","67","0.414","58","0.358","223","45","4","2","9","29","0.202","0.276","0.359","0.635","0.40","0.00","$0",""
"","Ramon Laureano","OF","OAK","48","0.296","42","0.259","156","45","12","1","5","19","0.289","0.358","0.474","0.832","2.24","0.00","$3,550,000",""
"","Nick Martini","RF","OAK","55","0.340","37","0.228","152","45","9","3","1","19","0.296","0.397","0.414","0.811","1.37","0.00","$0",""
"","Welington Castillo","C","CHW","50","0.309","46","0.284","170","44","7","0","6","15","0.259","0.304","0.406","0.710","0.46","0.00","$0",""
"","Blake Swihart","LF","BOS","82","0.506","41","0.253","192","44","10","0","3","18","0.229","0.285","0.328","0.613","-0.01","0.00","$0",""
"","Aaron Altherr","RF","PHI","105","0.648","57","0.352","243","44","11","1","8","38","0.181","0.295","0.333","0.628","-0.99","13.43","$0",""
"","David Bote","2B","CHC","74","0.454","47","0.288","184","44","9","2","6","33","0.239","0.319","0.408","0.727","1.84","0.00","$0",""
"","Jose Reyes","3B","NYM","110","0.679","48","0.296","228","43","12","3","4","16","0.189","0.260","0.320","0.580","-0.34","4.53","$0",""
"","Matt Joyce","RF","OAK","84","0.519","46","0.284","207","43","9","0","7","15","0.208","0.322","0.353","0.675","-0.20","0.00","$0",""
"","Dustin Fowler","CF","OAK","70","0.432","45","0.278","192","43","3","2","6","23","0.224","0.256","0.354","0.610","-0.97","0.00","$0",""
"","John Ryan Murphy","C","ARI","87","0.537","45","0.278","208","42","9","0","9","24","0.202","0.244","0.375","0.619","-0.35","0.00","$0",""
"","Jace Peterson","2B","BAL","96","0.593","56","0.346","210","42","13","2","3","28","0.200","0.310","0.324","0.634","-0.06","0.00","$4,500,000",""
"","Jefry Marte","1B","LAA","90","0.556","50","0.309","194","42","7","1","7","22","0.217","0.273","0.371","0.644","-0.15","0.00","$0",""
"","Victor Caratini","C","CHC","77","0.472","40","0.245","181","42","7","0","2","21","0.232","0.293","0.304","0.597","0.05","0.00","$2,800,000",""
"","Ryan McMahon","3B","COL","91","0.558","37","0.227","181","42","9","1","5","19","0.232","0.307","0.376","0.683","0.42","0.00","$9,000,000",""
"","Ronny Rodriguez","3B","DET","62","0.383","47","0.290","191","42","7","0","5","20","0.220","0.256","0.335","0.591","-1.57","0.00","$0",""
"","Gregor Blanco","RF","SF","68","0.420","40","0.247","189","41","7","3","2","12","0.217","0.262","0.317","0.580","-0.81","0.00","$0",""
"","A.J. Ellis","C","SD","66","0.407","43","0.265","151","41","8","0","1","15","0.272","0.378","0.344","0.722","0.33","0.00","$0",""
"","Curt Casali","C","CIN","52","0.321","35","0.216","140","41","10","0","4","16","0.293","0.355","0.450","0.805","0.92","0.00","$2,500,000",""
"","Austin Barnes","C","LAD","100","0.614","59","0.362","200","41","5","0","4","14","0.205","0.329","0.290","0.619","0.59","14.30","$3,500,000",""
"","Brian McCann","C","HOU","64","0.395","56","0.346","189","40","3","0","7","23","0.212","0.301","0.339","0.640","1.00","0.00","$0",""
"","Miguel Cabrera","1B","DET","38","0.235","37","0.228","134","40","11","0","3","22","0.299","0.395","0.448","0.843","0.23","0.00","$32,000,000",""
"","Greg Garcia","2B","STL","114","0.704","34","0.210","181","40","6","0","3","15","0.221","0.309","0.304","0.613","-0.06","7.15","$0",""
"","Cedric Mullins","CF","BAL","45","0.278","43","0.265","170","40","9","0","4","11","0.235","0.312","0.359","0.671","-0.18","0.00","$4,100,000",""
"","Jeff Mathis","C","ARI","69","0.426","61","0.377","195","39","9","1","1","20","0.200","0.272","0.272","0.544","0.58","0.00","$0",""
"","Jarrod Dyson","RF","ARI","67","0.414","56","0.346","206","39","4","2","2","12","0.189","0.282","0.257","0.539","0.12","0.00","$0",""
"","Ryan O'Hearn","1B","KC","45","0.278","42","0.259","149","39","10","2","12","30","0.262","0.353","0.597","0.950","0.75","0.00","$0",""
"","Preston Tucker","RF","ATL","97","0.599","36","0.222","166","38","11","0","6","27","0.229","0.299","0.404","0.703","-0.01","0.00","$0",""
"","Jesus Sucre","C","TB","73","0.451","52","0.321","182","38","5","0","1","17","0.209","0.247","0.253","0.500","-0.21","0.00","$0",""
"","Brian Goodwin","CF","KC","77","0.475","34","0.210","159","38","6","0","6","25","0.239","0.318","0.390","0.708","-0.17","0.00","$0",""
"","Yoenis Cespedes","CF","NYM","38","0.235","36","0.222","141","37","6","0","9","29","0.262","0.325","0.496","0.821","0.76","0.00","$0",""
"","Andrew Knapp","C","PHI","84","0.519","42","0.259","187","37","6","2","4","15","0.198","0.294","0.316","0.610","-0.52","0.00","$0",""
"","Mason Williams","CF","CIN","51","0.315","27","0.167","123","36","5","1","2","6","0.293","0.331","0.398","0.729","0.19","0.00","$0",""
"","Steven Duggar","CF","SF","41","0.253","37","0.228","141","36","11","1","2","17","0.255","0.303","0.390","0.693","0.94","0.00","$0",""
"","Chase Utley","2B","LAD","87","0.534","35","0.215","164","35","10","1","1","14","0.213","0.305","0.305","0.610","-0.11","0.00","$0",""
"","Ryan Flaherty","3B","ATL","81","0.500","33","0.204","161","35","6","0","2","13","0.217","0.298","0.292","0.590","-0.97","0.00","$0",""
"","Roman Quinn","CF","PHI","50","0.309","31","0.191","131","34","6","4","2","12","0.260","0.317","0.412","0.729","0.65","0.00","$0",""
"","Noel Cuevas","RF","COL","75","0.460","34","0.209","146","34","4","1","2","10","0.233","0.268","0.315","0.583","-1.39","0.00","$0",""
"","Willians Astudillo","C","MIN","30","0.185","23","0.142","93","33","4","1","3","21","0.355","0.371","0.516","0.887","0.81","0.00","$0",""
"","Franchy Cordero","OF","SD","40","0.247","36","0.222","139","33","5","1","7","19","0.237","0.307","0.439","0.746","-0.09","0.00","$0",""
"","Tyler O'Neill","OF","STL","62","0.383","28","0.173","130","33","5","0","9","23","0.254","0.303","0.500","0.803","1.20","0.00","$4,950,000",""
"","Alex Avila","C","ARI","81","0.500","57","0.352","194","32","6","0","7","20","0.165","0.299","0.304","0.603","0.01","0.00","$0",""
"","Pedro Severino","C","WSH","70","0.432","56","0.346","190","32","9","0","2","15","0.168","0.254","0.247","0.501","-1.08","0.00","$0",""
"","Dominic Smith","1B","NYM","56","0.346","33","0.204","143","32","11","1","5","11","0.224","0.255","0.420","0.675","-0.48","0.00","$2,000,000",""
"","Drew Butera","C","COL","62","0.380","49","0.301","163","31","9","0","3","21","0.190","0.264","0.301","0.564","-0.66","0.00","$0",""
"","Bryan Holaday","C","MIA","61","0.379","37","0.230","151","31","5","0","1","16","0.205","0.261","0.258","0.519","0.01","0.00","$0",""
"","Tony Wolters","C","COL","74","0.454","56","0.344","182","31","4","4","3","27","0.170","0.292","0.286","0.577","0.46","0.00","$0",""
"","Tyler Saladino","SS","MIL","58","0.356","30","0.184","126","31","4","0","5","16","0.246","0.299","0.397","0.696","0.09","0.00","$0",""
"","Jose Miguel Fernandez","2B","LAA","36","0.222","30","0.185","116","31","8","0","2","11","0.267","0.309","0.388","0.697","0.24","0.00","$0",""
"","Alex Blandino","SS","CIN","69","0.426","26","0.161","128","30","4","0","1","8","0.234","0.324","0.289","0.613","-0.17","0.00","$0",""
"","Brandon Lowe","2B","TB","43","0.265","36","0.222","129","30","6","2","6","25","0.233","0.324","0.450","0.774","0.80","0.00","$5,250,000",""
"","Billy McKinney","OF","TOR","38","0.235","33","0.204","119","30","7","0","6","13","0.252","0.318","0.462","0.780","-0.13","0.00","$0",""
"","Jose Briceno","C","LAA","48","0.220","35","0.161","122","30","2","0","5","12","0.246","0.308","0.385","0.694","1.04","0.00","$0",""
"","Kelby Tomlinson","2B","SF","63","0.389","31","0.191","140","29","4","2","0","10","0.207","0.265","0.264","0.529","-0.13","0.00","$0",""
"","Spencer Kieboom","C","WSH","52","0.321","39","0.241","125","29","5","0","2","13","0.232","0.322","0.320","0.642","0.53","0.00","$0",""
"","Chance Sisco","C","BAL","64","0.395","44","0.272","160","29","8","0","2","16","0.181","0.288","0.269","0.557","-0.29","0.00","$0",""
"","Richard Urena","SS","TOR","40","0.247","27","0.167","99","29","4","0","1","6","0.293","0.340","0.364","0.703","0.57","0.00","$0",""
"","Ronald Torreyes","2B","NYY","45","0.278","24","0.148","100","28","7","1","0","7","0.280","0.294","0.370","0.664","0.23","0.00","$0",""
"","Magneuris Sierra","OF","MIA","54","0.335","42","0.261","147","28","3","0","0","7","0.191","0.222","0.211","0.433","-1.69","0.00","$0",""
"","Austin Wynns","C","BAL","42","0.259","33","0.204","110","28","2","0","4","11","0.255","0.287","0.382","0.669","0.41","0.00","$0",""
"","Francisco Pena","C","STL","58","0.358","30","0.185","133","27","3","0","2","8","0.203","0.239","0.271","0.510","-1.09","0.00","$0",""
"","Ryan Rua","RF","TEX","62","0.383","39","0.241","139","27","3","1","6","12","0.194","0.221","0.360","0.580","-0.99","0.00","$0",""
"","Corey Seager","SS","LAD","26","0.160","24","0.147","101","27","5","1","2","13","0.267","0.348","0.396","0.744","0.52","0.00","$35,000,000",""
"","Carlos Tocci","LF","TEX","66","0.407","36","0.222","120","27","3","2","0","5","0.225","0.271","0.283","0.555","-1.59","0.00","$0",""
"","Andrew Romine","SS","SEA","75","0.463","29","0.179","119","25","2","1","0","2","0.210","0.260","0.244","0.504","-0.12","0.00","$0",""
